,time,power in kW
2020-03-01,00:15:00,95.516
2020-03-01,00:30:00,93.184
2020-03-01,00:45:00,88.64
2020-03-01,01:00:00,89.592
2020-03-01,01:15:00,81.904
2020-03-01,01:30:00,79.96
2020-03-01,01:45:00,76.028
2020-03-01,02:00:00,72.072
2020-03-01,02:15:00,72.328
2020-03-01,02:30:00,70.488
2020-03-01,02:45:00,68.604
2020-03-01,03:00:00,67.376
2020-03-01,03:15:00,66.636
2020-03-01,03:30:00,68.416
2020-03-01,03:45:00,67.932
2020-03-01,04:00:00,67.232
2020-03-01,04:15:00,67.328
2020-03-01,04:30:00,64.78
2020-03-01,04:45:00,66.024
2020-03-01,05:00:00,65.124
2020-03-01,05:15:00,67.788
2020-03-01,05:30:00,67.008
2020-03-01,05:45:00,68.888
2020-03-01,06:00:00,73.3
2020-03-01,06:15:00,76.948
2020-03-01,06:30:00,83.704
2020-03-01,06:45:00,82.656
2020-03-01,07:00:00,84.888
2020-03-01,07:15:00,92.224
2020-03-01,07:30:00,103.276
2020-03-01,07:45:00,104.46
2020-03-01,08:00:00,115.52
2020-03-01,08:15:00,127.384
2020-03-01,08:30:00,127.292
2020-03-01,08:45:00,143.508
2020-03-01,09:00:00,139.964
2020-03-01,09:15:00,152.004
2020-03-01,09:30:00,158.724
2020-03-01,09:45:00,159.496
2020-03-01,10:00:00,165.032
2020-03-01,10:15:00,168.168
2020-03-01,10:30:00,190.656
2020-03-01,10:45:00,195.94
2020-03-01,11:00:00,169.972
2020-03-01,11:15:00,192.8
2020-03-01,11:30:00,205.824
2020-03-01,11:45:00,217.06
2020-03-01,12:00:00,194.836
2020-03-01,12:15:00,186.32
2020-03-01,12:30:00,200.34
2020-03-01,12:45:00,194.088
2020-03-01,13:00:00,175.528
2020-03-01,13:15:00,172.572
2020-03-01,13:30:00,170.044
2020-03-01,13:45:00,162.352
2020-03-01,14:00:00,166.68
2020-03-01,14:15:00,170.128
2020-03-01,14:30:00,153.86
2020-03-01,14:45:00,157.336
2020-03-01,15:00:00,156.532
2020-03-01,15:15:00,147.996
2020-03-01,15:30:00,147.38
2020-03-01,15:45:00,148.612
