,time,power in kW
2020-10-01,00:15:00,69.88
2020-10-01,00:30:00,66.736
2020-10-01,00:45:00,62.08
2020-10-01,01:00:00,59.592
2020-10-01,01:15:00,57.504
2020-10-01,01:30:00,55.196
2020-10-01,01:45:00,54.536
2020-10-01,02:00:00,54.252
2020-10-01,02:15:00,53.624
2020-10-01,02:30:00,55.164
2020-10-01,02:45:00,53.272
2020-10-01,03:00:00,52.58
2020-10-01,03:15:00,51.704
2020-10-01,03:30:00,53.984
2020-10-01,03:45:00,51.856
2020-10-01,04:00:00,55.504
2020-10-01,04:15:00,53.6
2020-10-01,04:30:00,54.572
2020-10-01,04:45:00,58.608
2020-10-01,05:00:00,61.38
2020-10-01,05:15:00,62.744
2020-10-01,05:30:00,71.376
2020-10-01,05:45:00,73.764
2020-10-01,06:00:00,77.772
2020-10-01,06:15:00,84.964
2020-10-01,06:30:00,94.748
2020-10-01,06:45:00,104.856
2020-10-01,07:00:00,117.24
2020-10-01,07:15:00,114.244
2020-10-01,07:30:00,115.388
2020-10-01,07:45:00,106.552
2020-10-01,08:00:00,105.436
2020-10-01,08:15:00,106.232
2020-10-01,08:30:00,108.716
2020-10-01,08:45:00,105.7
2020-10-01,09:00:00,109.232
2020-10-01,09:15:00,104.232
2020-10-01,09:30:00,107.984
2020-10-01,09:45:00,104.164
2020-10-01,10:00:00,99.756
2020-10-01,10:15:00,102.948
2020-10-01,10:30:00,111.836
2020-10-01,10:45:00,105.048
2020-10-01,11:00:00,99.94
2020-10-01,11:15:00,107.304
2020-10-01,11:30:00,103.032
2020-10-01,11:45:00,115.676
2020-10-01,12:00:00,116.368
2020-10-01,12:15:00,120.204
2020-10-01,12:30:00,117.164
2020-10-01,12:45:00,112.548
2020-10-01,13:00:00,112.06
2020-10-01,13:15:00,110.036
2020-10-01,13:30:00,114.624
2020-10-01,13:45:00,113.66
2020-10-01,14:00:00,110.704
2020-10-01,14:15:00,110.496
2020-10-01,14:30:00,107.376
2020-10-01,14:45:00,105.048
2020-10-01,15:00:00,100.54
2020-10-01,15:15:00,105.772
2020-10-01,15:30:00,102.588
2020-10-01,15:45:00,98.904
2020-10-01,16:00:00,103.296
2020-10-01,16:15:00,116.884
2020-10-01,16:30:00,108.828
2020-10-01,16:45:00,106.984
2020-10-01,17:00:00,109.436
2020-10-01,17:15:00,113.42
2020-10-01,17:30:00,117.42
2020-10-01,17:45:00,121.524
2020-10-01,18:00:00,121.98
2020-10-01,18:15:00,131.404
2020-10-01,18:30:00,131.86
2020-10-01,18:45:00,127.98
2020-10-01,19:00:00,134.036
2020-10-01,19:15:00,149.272
2020-10-01,19:30:00,147.996
2020-10-01,19:45:00,149.976
2020-10-01,20:00:00,154.98
2020-10-01,20:15:00,156.372
2020-10-01,20:30:00,158.828
2020-10-01,20:45:00,151.156
2020-10-01,21:00:00,147.456
2020-10-01,21:15:00,151.388
2020-10-01,21:30:00,137.76
2020-10-01,21:45:00,133.568
2020-10-01,22:00:00,134.004
2020-10-01,22:15:00,133.488
2020-10-01,22:30:00,116.412
2020-10-01,22:45:00,109.548
2020-10-01,23:00:00,100.636
2020-10-01,23:15:00,94.608
2020-10-01,23:30:00,86.484
2020-10-01,23:45:00,80.068
2020-10-01,00:00:00,75.22
2020-10-02,00:15:00,69.584
2020-10-02,00:30:00,65.672
2020-10-02,00:45:00,62.456
2020-10-02,01:00:00,59.844
2020-10-02,01:15:00,57.328
2020-10-02,01:30:00,55.728
2020-10-02,01:45:00,54.82
2020-10-02,02:00:00,54.228
2020-10-02,02:15:00,55.32
2020-10-02,02:30:00,53.496
2020-10-02,02:45:00,55.26
2020-10-02,03:00:00,52.928
2020-10-02,03:15:00,53.972
2020-10-02,03:30:00,54.688
2020-10-02,03:45:00,52.508
2020-10-02,04:00:00,52.276
2020-10-02,04:15:00,54.792
2020-10-02,04:30:00,53.092
2020-10-02,04:45:00,57.24
2020-10-02,05:00:00,60.564
2020-10-02,05:15:00,61.912
2020-10-02,05:30:00,72.292
2020-10-02,05:45:00,73.552
2020-10-02,06:00:00,71.872
2020-10-02,06:15:00,82.88
2020-10-02,06:30:00,92.824
2020-10-02,06:45:00,102.304
2020-10-02,07:00:00,112.464
2020-10-02,07:15:00,110.74
2020-10-02,07:30:00,109.212
2020-10-02,07:45:00,104.836
2020-10-02,08:00:00,106.936
2020-10-02,08:15:00,109.088
2020-10-02,08:30:00,106.428
2020-10-02,08:45:00,111.228
2020-10-02,09:00:00,109.844
2020-10-02,09:15:00,106.472
2020-10-02,09:30:00,107.808
2020-10-02,09:45:00,107.2
2020-10-02,10:00:00,113.496
2020-10-02,10:15:00,114.748
2020-10-02,10:30:00,106.512
2020-10-02,10:45:00,107.752
2020-10-02,11:00:00,110.7
2020-10-02,11:15:00,110.172
2020-10-02,11:30:00,116.396
2020-10-02,11:45:00,119.356
2020-10-02,12:00:00,117.296
2020-10-02,12:15:00,120.9
2020-10-02,12:30:00,125.392
2020-10-02,12:45:00,118.244
2020-10-02,13:00:00,121.216
2020-10-02,13:15:00,120.816
2020-10-02,13:30:00,114.996
2020-10-02,13:45:00,113.076
2020-10-02,14:00:00,111.612
2020-10-02,14:15:00,111.408
2020-10-02,14:30:00,110.468
2020-10-02,14:45:00,109.38
2020-10-02,15:00:00,108.7
2020-10-02,15:15:00,114.872
2020-10-02,15:30:00,114.144
2020-10-02,15:45:00,107.78
2020-10-02,16:00:00,103.5
2020-10-02,16:15:00,111.332
2020-10-02,16:30:00,106.18
2020-10-02,16:45:00,101.992
2020-10-02,17:00:00,103.624
2020-10-02,17:15:00,108.388
2020-10-02,17:30:00,114.272
2020-10-02,17:45:00,116.052
2020-10-02,18:00:00,117.452
2020-10-02,18:15:00,120.14
2020-10-02,18:30:00,129.24
2020-10-02,18:45:00,127.592
2020-10-02,19:00:00,134.328
2020-10-02,19:15:00,136.996
2020-10-02,19:30:00,140.292
2020-10-02,19:45:00,146.496
2020-10-02,20:00:00,153.112
2020-10-02,20:15:00,152.128
2020-10-02,20:30:00,151.784
2020-10-02,20:45:00,150.316
2020-10-02,21:00:00,139.292
2020-10-02,21:15:00,137.5
2020-10-02,21:30:00,129.308
2020-10-02,21:45:00,136.136
2020-10-02,22:00:00,131.38
2020-10-02,22:15:00,124.084
2020-10-02,22:30:00,117.472
