,time,power in kW
2020-09-01,00:15:00,68.344
2020-09-01,00:30:00,67.532
2020-09-01,00:45:00,63.716
2020-09-01,01:00:00,61.908
2020-09-01,01:15:00,59.28
2020-09-01,01:30:00,56.188
2020-09-01,01:45:00,53.812
2020-09-01,02:00:00,56.756
2020-09-01,02:15:00,55.992
2020-09-01,02:30:00,54.208
2020-09-01,02:45:00,53.54
2020-09-01,03:00:00,53.224
2020-09-01,03:15:00,53.96
2020-09-01,03:30:00,52.6
2020-09-01,03:45:00,53.532
2020-09-01,04:00:00,56.716
2020-09-01,04:15:00,54.66
2020-09-01,04:30:00,55.184
2020-09-01,04:45:00,58.436
2020-09-01,05:00:00,59.504
2020-09-01,05:15:00,61.824
2020-09-01,05:30:00,66.644
2020-09-01,05:45:00,69.956
2020-09-01,06:00:00,76.208
2020-09-01,06:15:00,82.4
2020-09-01,06:30:00,92.756
2020-09-01,06:45:00,100.56
2020-09-01,07:00:00,101.304
2020-09-01,07:15:00,99.016
2020-09-01,07:30:00,102.244
2020-09-01,07:45:00,102.968
2020-09-01,08:00:00,104.596
2020-09-01,08:15:00,99.604
2020-09-01,08:30:00,98.412
2020-09-01,08:45:00,104.54
2020-09-01,09:00:00,96.08
2020-09-01,09:15:00,102.94
2020-09-01,09:30:00,96.732
2020-09-01,09:45:00,96.592
2020-09-01,10:00:00,97.428
2020-09-01,10:15:00,97.732
2020-09-01,10:30:00,97.352
2020-09-01,10:45:00,99.48
2020-09-01,11:00:00,106.412
2020-09-01,11:15:00,102.104
2020-09-01,11:30:00,105.26
2020-09-01,11:45:00,102.212
2020-09-01,12:00:00,108.524
2020-09-01,12:15:00,111.4
2020-09-01,12:30:00,116.632
2020-09-01,12:45:00,112.064
2020-09-01,13:00:00,112.604
2020-09-01,13:15:00,107.6
2020-09-01,13:30:00,111.388
2020-09-01,13:45:00,112.44
2020-09-01,14:00:00,108.196
2020-09-01,14:15:00,105.772
2020-09-01,14:30:00,102.088
2020-09-01,14:45:00,101.8
2020-09-01,15:00:00,101.412
2020-09-01,15:15:00,99.772
2020-09-01,15:30:00,99.288
2020-09-01,15:45:00,100.096
2020-09-01,16:00:00,96.796
2020-09-01,16:15:00,108.028
2020-09-01,16:30:00,107.476
2020-09-01,16:45:00,102.92
2020-09-01,17:00:00,102.3
2020-09-01,17:15:00,107.448
2020-09-01,17:30:00,110.532
2020-09-01,17:45:00,119.364
2020-09-01,18:00:00,116.376
2020-09-01,18:15:00,125.364
2020-09-01,18:30:00,125.128
2020-09-01,18:45:00,129.012
2020-09-01,19:00:00,133.492
2020-09-01,19:15:00,130.796
2020-09-01,19:30:00,125.908
2020-09-01,19:45:00,132.384
2020-09-01,20:00:00,140.864
2020-09-01,20:15:00,135.68
2020-09-01,20:30:00,133.688
2020-09-01,20:45:00,134.616
2020-09-01,21:00:00,139.596
2020-09-01,21:15:00,130.224
2020-09-01,21:30:00,131.432
2020-09-01,21:45:00,129.66
2020-09-01,22:00:00,126.968
2020-09-01,22:15:00,119.736
2020-09-01,22:30:00,108.0
2020-09-01,22:45:00,98.632
2020-09-01,23:00:00,94.46
2020-09-01,23:15:00,90.74
2020-09-01,23:30:00,80.688
2020-09-01,23:45:00,78.632
2020-09-01,00:00:00,71.352
2020-09-02,00:15:00,66.42
2020-09-02,00:30:00,63.02
2020-09-02,00:45:00,62.612
2020-09-02,01:00:00,60.036
2020-09-02,01:15:00,58.036
2020-09-02,01:30:00,56.996
2020-09-02,01:45:00,55.348
2020-09-02,02:00:00,56.368
2020-09-02,02:15:00,55.816
2020-09-02,02:30:00,55.236
2020-09-02,02:45:00,53.068
2020-09-02,03:00:00,55.416
2020-09-02,03:15:00,53.56
2020-09-02,03:30:00,54.404
2020-09-02,03:45:00,56.708
2020-09-02,04:00:00,53.944
2020-09-02,04:15:00,55.06
2020-09-02,04:30:00,54.244
2020-09-02,04:45:00,57.34
2020-09-02,05:00:00,61.684
2020-09-02,05:15:00,63.068
2020-09-02,05:30:00,64.4
2020-09-02,05:45:00,69.724
2020-09-02,06:00:00,70.864
2020-09-02,06:15:00,86.352
2020-09-02,06:30:00,87.016
2020-09-02,06:45:00,106.592
2020-09-02,07:00:00,105.784
2020-09-02,07:15:00,111.004
2020-09-02,07:30:00,104.032
2020-09-02,07:45:00,100.972
2020-09-02,08:00:00,103.048
