,time,power in kW
2020-12-01,00:15:00,81.008
2020-12-01,00:30:00,77.688
2020-12-01,00:45:00,71.736
2020-12-01,01:00:00,69.056
2020-12-01,01:15:00,70.188
2020-12-01,01:30:00,68.22
2020-12-01,01:45:00,64.364
2020-12-01,02:00:00,62.196
2020-12-01,02:15:00,63.828
2020-12-01,02:30:00,60.612
2020-12-01,02:45:00,63.572
2020-12-01,03:00:00,61.824
2020-12-01,03:15:00,62.98
2020-12-01,03:30:00,62.632
2020-12-01,03:45:00,62.964
2020-12-01,04:00:00,62.8
2020-12-01,04:15:00,63.636
2020-12-01,04:30:00,62.9
2020-12-01,04:45:00,71.996
2020-12-01,05:00:00,72.076
2020-12-01,05:15:00,75.52
2020-12-01,05:30:00,83.352
2020-12-01,05:45:00,94.6
2020-12-01,06:00:00,93.692
2020-12-01,06:15:00,110.096
2020-12-01,06:30:00,120.376
2020-12-01,06:45:00,146.148
2020-12-01,07:00:00,150.66
2020-12-01,07:15:00,154.188
2020-12-01,07:30:00,135.968
2020-12-01,07:45:00,136.608
2020-12-01,08:00:00,142.048
2020-12-01,08:15:00,136.132
2020-12-01,08:30:00,129.908
2020-12-01,08:45:00,126.468
2020-12-01,09:00:00,119.696
2020-12-01,09:15:00,128.192
2020-12-01,09:30:00,130.912
2020-12-01,09:45:00,129.168
2020-12-01,10:00:00,123.956
2020-12-01,10:15:00,131.94
2020-12-01,10:30:00,127.912
2020-12-01,10:45:00,118.552
2020-12-01,11:00:00,126.088
2020-12-01,11:15:00,126.404
2020-12-01,11:30:00,126.728
2020-12-01,11:45:00,131.4
2020-12-01,12:00:00,130.396
2020-12-01,12:15:00,132.108
2020-12-01,12:30:00,138.228
2020-12-01,12:45:00,142.064
2020-12-01,13:00:00,135.928
2020-12-01,13:15:00,131.756
2020-12-01,13:30:00,133.776
2020-12-01,13:45:00,132.56
2020-12-01,14:00:00,128.956
2020-12-01,14:15:00,127.252
2020-12-01,14:30:00,127.192
2020-12-01,14:45:00,125.064
2020-12-01,15:00:00,131.216
2020-12-01,15:15:00,129.816
2020-12-01,15:30:00,142.312
2020-12-01,15:45:00,137.836
2020-12-01,16:00:00,141.868
2020-12-01,16:15:00,143.28
2020-12-01,16:30:00,146.74
2020-12-01,16:45:00,144.4
2020-12-01,17:00:00,156.028
2020-12-01,17:15:00,166.768
2020-12-01,17:30:00,182.076
2020-12-01,17:45:00,188.76
2020-12-01,18:00:00,185.78
2020-12-01,18:15:00,192.484
2020-12-01,18:30:00,198.168
2020-12-01,18:45:00,201.088
2020-12-01,19:00:00,199.056
2020-12-01,19:15:00,198.216
2020-12-01,19:30:00,198.028
2020-12-01,19:45:00,191.184
2020-12-01,20:00:00,188.464
2020-12-01,20:15:00,185.54
2020-12-01,20:30:00,188.16
2020-12-01,20:45:00,186.744
2020-12-01,21:00:00,177.94
2020-12-01,21:15:00,171.12
2020-12-01,21:30:00,165.632
2020-12-01,21:45:00,164.88
2020-12-01,22:00:00,152.16
2020-12-01,22:15:00,144.044
2020-12-01,22:30:00,138.692
2020-12-01,22:45:00,128.844
2020-12-01,23:00:00,121.992
2020-12-01,23:15:00,108.796
2020-12-01,23:30:00,101.34
2020-12-01,23:45:00,94.392
2020-12-01,00:00:00,86.58
2020-12-02,00:15:00,85.276
2020-12-02,00:30:00,82.644
2020-12-02,00:45:00,77.216
2020-12-02,01:00:00,73.6
2020-12-02,01:15:00,70.672
2020-12-02,01:30:00,67.856
2020-12-02,01:45:00,66.452
2020-12-02,02:00:00,64.972
2020-12-02,02:15:00,65.264
2020-12-02,02:30:00,66.032
2020-12-02,02:45:00,66.304
2020-12-02,03:00:00,64.84
2020-12-02,03:15:00,65.472
2020-12-02,03:30:00,66.108
2020-12-02,03:45:00,64.128
2020-12-02,04:00:00,66.308
2020-12-02,04:15:00,67.66
2020-12-02,04:30:00,71.724
2020-12-02,04:45:00,76.136
2020-12-02,05:00:00,77.172
2020-12-02,05:15:00,78.792
2020-12-02,05:30:00,83.272
2020-12-02,05:45:00,95.688
2020-12-02,06:00:00,92.336
2020-12-02,06:15:00,115.7
2020-12-02,06:30:00,117.488
2020-12-02,06:45:00,140.612
2020-12-02,07:00:00,140.864
2020-12-02,07:15:00,139.96
2020-12-02,07:30:00,138.224
2020-12-02,07:45:00,138.88
2020-12-02,08:00:00,139.992
2020-12-02,08:15:00,142.64
2020-12-02,08:30:00,127.492
2020-12-02,08:45:00,130.796
2020-12-02,09:00:00,139.608
2020-12-02,09:15:00,135.64
2020-12-02,09:30:00,134.808
2020-12-02,09:45:00,131.124
2020-12-02,10:00:00,124.816
2020-12-02,10:15:00,131.224
2020-12-02,10:30:00,126.704
2020-12-02,10:45:00,127.556
2020-12-02,11:00:00,128.664
2020-12-02,11:15:00,130.308
2020-12-02,11:30:00,129.124
2020-12-02,11:45:00,132.772
2020-12-02,12:00:00,131.844
2020-12-02,12:15:00,133.908
2020-12-02,12:30:00,137.868
2020-12-02,12:45:00,136.304
2020-12-02,13:00:00,138.652
2020-12-02,13:15:00,136.588
2020-12-02,13:30:00,137.608
2020-12-02,13:45:00,139.248
2020-12-02,14:00:00,136.456
2020-12-02,14:15:00,133.444
2020-12-02,14:30:00,139.092
2020-12-02,14:45:00,132.616
2020-12-02,15:00:00,134.296
2020-12-02,15:15:00,130.224
2020-12-02,15:30:00,135.068
2020-12-02,15:45:00,136.496
2020-12-02,16:00:00,137.82
2020-12-02,16:15:00,147.096
2020-12-02,16:30:00,147.76
2020-12-02,16:45:00,154.788
2020-12-02,17:00:00,168.112
2020-12-02,17:15:00,176.568
2020-12-02,17:30:00,185.716
2020-12-02,17:45:00,194.784
2020-12-02,18:00:00,191.668
2020-12-02,18:15:00,194.812
2020-12-02,18:30:00,192.876
2020-12-02,18:45:00,191.208
2020-12-02,19:00:00,192.276
2020-12-02,19:15:00,197.832
2020-12-02,19:30:00,201.112
2020-12-02,19:45:00,203.76
2020-12-02,20:00:00,197.52
2020-12-02,20:15:00,194.188
2020-12-02,20:30:00,176.756
2020-12-02,20:45:00,185.988
2020-12-02,21:00:00,190.396
2020-12-02,21:15:00,178.42
2020-12-02,21:30:00,163.596
2020-12-02,21:45:00,159.264
2020-12-02,22:00:00,166.12
2020-12-02,22:15:00,149.972
2020-12-02,22:30:00,142.452
2020-12-02,22:45:00,137.944
2020-12-02,23:00:00,124.996
2020-12-02,23:15:00,116.688
2020-12-02,23:30:00,107.032
2020-12-02,23:45:00,97.06
2020-12-02,00:00:00,96.232
2020-12-03,00:15:00,83.644
2020-12-03,00:30:00,82.008
2020-12-03,00:45:00,79.24
2020-12-03,01:00:00,72.856
2020-12-03,01:15:00,69.64
2020-12-03,01:30:00,70.188
2020-12-03,01:45:00,67.464
2020-12-03,02:00:00,66.416
2020-12-03,02:15:00,67.228
2020-12-03,02:30:00,66.496
2020-12-03,02:45:00,66.368
2020-12-03,03:00:00,64.392
2020-12-03,03:15:00,64.78
2020-12-03,03:30:00,65.432
2020-12-03,03:45:00,66.644
2020-12-03,04:00:00,66.46
2020-12-03,04:15:00,69.208
2020-12-03,04:30:00,71.532
2020-12-03,04:45:00,79.288
2020-12-03,05:00:00,79.448
2020-12-03,05:15:00,81.228
2020-12-03,05:30:00,84.628
2020-12-03,05:45:00,91.988
2020-12-03,06:00:00,96.08
2020-12-03,06:15:00,114.156
2020-12-03,06:30:00,123.428
2020-12-03,06:45:00,131.132
2020-12-03,07:00:00,141.904
2020-12-03,07:15:00,147.26
2020-12-03,07:30:00,131.44
2020-12-03,07:45:00,133.528
2020-12-03,08:00:00,141.872
2020-12-03,08:15:00,146.856
2020-12-03,08:30:00,139.168
2020-12-03,08:45:00,145.54
2020-12-03,09:00:00,128.592
2020-12-03,09:15:00,130.72
2020-12-03,09:30:00,129.224
2020-12-03,09:45:00,131.352
2020-12-03,10:00:00,127.36
2020-12-03,10:15:00,120.768
2020-12-03,10:30:00,129.944
2020-12-03,10:45:00,127.868
2020-12-03,11:00:00,127.344
2020-12-03,11:15:00,125.548
2020-12-03,11:30:00,130.324
2020-12-03,11:45:00,134.508
2020-12-03,12:00:00,132.544
2020-12-03,12:15:00,138.396
2020-12-03,12:30:00,137.14
2020-12-03,12:45:00,142.276
2020-12-03,13:00:00,142.02
2020-12-03,13:15:00,132.608
2020-12-03,13:30:00,137.312
2020-12-03,13:45:00,131.18
2020-12-03,14:00:00,127.16
2020-12-03,14:15:00,133.64
2020-12-03,14:30:00,134.116
2020-12-03,14:45:00,130.752
2020-12-03,15:00:00,133.044
2020-12-03,15:15:00,132.052
2020-12-03,15:30:00,138.428
2020-12-03,15:45:00,132.688
2020-12-03,16:00:00,133.756
2020-12-03,16:15:00,132.972
2020-12-03,16:30:00,146.552
2020-12-03,16:45:00,150.108
2020-12-03,17:00:00,159.544
2020-12-03,17:15:00,171.252
2020-12-03,17:30:00,184.12
2020-12-03,17:45:00,179.46
2020-12-03,18:00:00,178.536
2020-12-03,18:15:00,187.7
2020-12-03,18:30:00,182.5
2020-12-03,18:45:00,186.032
2020-12-03,19:00:00,194.032
2020-12-03,19:15:00,192.092
2020-12-03,19:30:00,189.1
2020-12-03,19:45:00,181.304
2020-12-03,20:00:00,181.096
2020-12-03,20:15:00,181.908
2020-12-03,20:30:00,181.964
2020-12-03,20:45:00,171.692
2020-12-03,21:00:00,168.272
2020-12-03,21:15:00,165.9
2020-12-03,21:30:00,161.56
2020-12-03,21:45:00,147.16
2020-12-03,22:00:00,151.916
2020-12-03,22:15:00,138.996
2020-12-03,22:30:00,130.48
2020-12-03,22:45:00,128.136
2020-12-03,23:00:00,114.596
2020-12-03,23:15:00,105.488
2020-12-03,23:30:00,98.568
2020-12-03,23:45:00,93.62
2020-12-03,00:00:00,88.372
2020-12-04,00:15:00,84.104
2020-12-04,00:30:00,76.52
2020-12-04,00:45:00,74.344
2020-12-04,01:00:00,69.156
2020-12-04,01:15:00,70.668
2020-12-04,01:30:00,64.168
2020-12-04,01:45:00,63.508
2020-12-04,02:00:00,64.272
2020-12-04,02:15:00,62.54
2020-12-04,02:30:00,64.924
2020-12-04,02:45:00,62.592
2020-12-04,03:00:00,64.772
2020-12-04,03:15:00,63.68
2020-12-04,03:30:00,62.364
2020-12-04,03:45:00,61.396
2020-12-04,04:00:00,62.196
2020-12-04,04:15:00,65.692
2020-12-04,04:30:00,65.76
2020-12-04,04:45:00,70.208
2020-12-04,05:00:00,72.204
2020-12-04,05:15:00,73.472
2020-12-04,05:30:00,79.528
2020-12-04,05:45:00,87.968
2020-12-04,06:00:00,92.268
2020-12-04,06:15:00,106.224
2020-12-04,06:30:00,113.344
2020-12-04,06:45:00,127.856
2020-12-04,07:00:00,142.144
2020-12-04,07:15:00,135.816
2020-12-04,07:30:00,136.008
2020-12-04,07:45:00,129.808
2020-12-04,08:00:00,133.132
2020-12-04,08:15:00,129.784
2020-12-04,08:30:00,129.824
2020-12-04,08:45:00,135.252
2020-12-04,09:00:00,128.704
2020-12-04,09:15:00,127.844
2020-12-04,09:30:00,133.508
2020-12-04,09:45:00,130.144
2020-12-04,10:00:00,125.196
2020-12-04,10:15:00,119.624
2020-12-04,10:30:00,115.16
2020-12-04,10:45:00,121.048
2020-12-04,11:00:00,120.02
2020-12-04,11:15:00,121.38
2020-12-04,11:30:00,125.504
2020-12-04,11:45:00,127.452
2020-12-04,12:00:00,135.172
2020-12-04,12:15:00,137.68
2020-12-04,12:30:00,145.348
2020-12-04,12:45:00,145.876
2020-12-04,13:00:00,147.932
2020-12-04,13:15:00,130.948
2020-12-04,13:30:00,125.744
2020-12-04,13:45:00,122.248
2020-12-04,14:00:00,138.204
2020-12-04,14:15:00,143.388
2020-12-04,14:30:00,141.492
2020-12-04,14:45:00,139.792
2020-12-04,15:00:00,140.648
2020-12-04,15:15:00,142.236
2020-12-04,15:30:00,139.24
2020-12-04,15:45:00,142.012
2020-12-04,16:00:00,140.508
2020-12-04,16:15:00,158.7
2020-12-04,16:30:00,154.908
2020-12-04,16:45:00,155.52
2020-12-04,17:00:00,162.172
2020-12-04,17:15:00,175.172
2020-12-04,17:30:00,188.236
2020-12-04,17:45:00,179.72
2020-12-04,18:00:00,177.568
2020-12-04,18:15:00,176.78
2020-12-04,18:30:00,176.752
2020-12-04,18:45:00,178.996
2020-12-04,19:00:00,179.556
2020-12-04,19:15:00,174.38
2020-12-04,19:30:00,179.596
2020-12-04,19:45:00,167.236
2020-12-04,20:00:00,172.34
2020-12-04,20:15:00,165.108
2020-12-04,20:30:00,161.8
2020-12-04,20:45:00,164.516
2020-12-04,21:00:00,161.32
2020-12-04,21:15:00,155.652
2020-12-04,21:30:00,144.584
2020-12-04,21:45:00,142.584
2020-12-04,22:00:00,140.108
2020-12-04,22:15:00,131.024
2020-12-04,22:30:00,127.872
2020-12-04,22:45:00,129.108
2020-12-04,23:00:00,120.708
2020-12-04,23:15:00,111.956
2020-12-04,23:30:00,104.908
2020-12-04,23:45:00,98.748
2020-12-04,00:00:00,99.08
2020-12-05,00:15:00,85.736
2020-12-05,00:30:00,83.388
2020-12-05,00:45:00,78.848
2020-12-05,01:00:00,73.512
2020-12-05,01:15:00,73.14
2020-12-05,01:30:00,70.028
2020-12-05,01:45:00,65.5
2020-12-05,02:00:00,65.596
2020-12-05,02:15:00,65.22
2020-12-05,02:30:00,63.2
2020-12-05,02:45:00,61.26
2020-12-05,03:00:00,62.968
2020-12-05,03:15:00,61.32
2020-12-05,03:30:00,60.328
2020-12-05,03:45:00,63.112
2020-12-05,04:00:00,60.996
2020-12-05,04:15:00,62.764
2020-12-05,04:30:00,63.556
2020-12-05,04:45:00,61.34
2020-12-05,05:00:00,64.892
2020-12-05,05:15:00,67.86
2020-12-05,05:30:00,69.564
2020-12-05,05:45:00,67.896
2020-12-05,06:00:00,72.448
2020-12-05,06:15:00,77.488
2020-12-05,06:30:00,80.584
2020-12-05,06:45:00,89.992
2020-12-05,07:00:00,87.32
2020-12-05,07:15:00,94.848
2020-12-05,07:30:00,98.912
2020-12-05,07:45:00,109.048
2020-12-05,08:00:00,113.1
2020-12-05,08:15:00,119.696
2020-12-05,08:30:00,134.452
2020-12-05,08:45:00,142.892
2020-12-05,09:00:00,142.348
2020-12-05,09:15:00,139.468
2020-12-05,09:30:00,149.136
2020-12-05,09:45:00,147.388
2020-12-05,10:00:00,151.116
2020-12-05,10:15:00,156.524
2020-12-05,10:30:00,155.736
2020-12-05,10:45:00,165.5
2020-12-05,11:00:00,153.724
2020-12-05,11:15:00,166.188
2020-12-05,11:30:00,165.856
2020-12-05,11:45:00,163.948
2020-12-05,12:00:00,163.968
2020-12-05,12:15:00,178.048
2020-12-05,12:30:00,173.364
2020-12-05,12:45:00,174.196
2020-12-05,13:00:00,165.732
2020-12-05,13:15:00,171.38
2020-12-05,13:30:00,160.776
2020-12-05,13:45:00,172.544
2020-12-05,14:00:00,181.98
2020-12-05,14:15:00,172.712
2020-12-05,14:30:00,173.98
2020-12-05,14:45:00,171.164
2020-12-05,15:00:00,171.644
2020-12-05,15:15:00,170.708
2020-12-05,15:30:00,154.284
2020-12-05,15:45:00,163.716
2020-12-05,16:00:00,155.928
2020-12-05,16:15:00,160.36
2020-12-05,16:30:00,160.54
2020-12-05,16:45:00,167.312
2020-12-05,17:00:00,168.704
2020-12-05,17:15:00,171.196
2020-12-05,17:30:00,172.108
2020-12-05,17:45:00,177.652
2020-12-05,18:00:00,186.232
2020-12-05,18:15:00,197.728
2020-12-05,18:30:00,192.956
2020-12-05,18:45:00,187.768
2020-12-05,19:00:00,189.228
2020-12-05,19:15:00,173.52
2020-12-05,19:30:00,175.004
2020-12-05,19:45:00,167.1
2020-12-05,20:00:00,159.82
2020-12-05,20:15:00,157.944
2020-12-05,20:30:00,162.016
2020-12-05,20:45:00,154.216
2020-12-05,21:00:00,148.02
2020-12-05,21:15:00,144.84
2020-12-05,21:30:00,133.592
2020-12-05,21:45:00,132.984
2020-12-05,22:00:00,129.68
2020-12-05,22:15:00,128.248
2020-12-05,22:30:00,122.508
2020-12-05,22:45:00,122.3
2020-12-05,23:00:00,116.008
2020-12-05,23:15:00,110.392
2020-12-05,23:30:00,105.3
2020-12-05,23:45:00,104.632
2020-12-05,00:00:00,98.964
2020-12-06,00:15:00,89.724
2020-12-06,00:30:00,87.12
2020-12-06,00:45:00,82.468
2020-12-06,01:00:00,77.392
2020-12-06,01:15:00,71.752
2020-12-06,01:30:00,72.12
2020-12-06,01:45:00,67.976
2020-12-06,02:00:00,68.824
2020-12-06,02:15:00,67.656
2020-12-06,02:30:00,66.296
2020-12-06,02:45:00,66.572
2020-12-06,03:00:00,64.216
2020-12-06,03:15:00,64.588
2020-12-06,03:30:00,66.32
2020-12-06,03:45:00,62.852
2020-12-06,04:00:00,63.016
2020-12-06,04:15:00,61.64
2020-12-06,04:30:00,61.968
2020-12-06,04:45:00,61.264
2020-12-06,05:00:00,62.416
2020-12-06,05:15:00,67.66
2020-12-06,05:30:00,66.264
2020-12-06,05:45:00,68.844
2020-12-06,06:00:00,69.2
2020-12-06,06:15:00,71.928
2020-12-06,06:30:00,77.492
2020-12-06,06:45:00,74.684
2020-12-06,07:00:00,79.368
2020-12-06,07:15:00,79.364
2020-12-06,07:30:00,93.74
2020-12-06,07:45:00,96.672
2020-12-06,08:00:00,103.652
2020-12-06,08:15:00,114.564
2020-12-06,08:30:00,124.792
2020-12-06,08:45:00,130.876
2020-12-06,09:00:00,141.74
2020-12-06,09:15:00,148.252
2020-12-06,09:30:00,152.62
2020-12-06,09:45:00,157.636
2020-12-06,10:00:00,161.52
2020-12-06,10:15:00,178.184
2020-12-06,10:30:00,170.532
2020-12-06,10:45:00,178.624
2020-12-06,11:00:00,172.704
2020-12-06,11:15:00,172.044
2020-12-06,11:30:00,184.208
2020-12-06,11:45:00,177.848
2020-12-06,12:00:00,197.8
2020-12-06,12:15:00,207.392
2020-12-06,12:30:00,199.596
2020-12-06,12:45:00,200.776
2020-12-06,13:00:00,200.396
2020-12-06,13:15:00,190.888
2020-12-06,13:30:00,182.32
2020-12-06,13:45:00,171.256
2020-12-06,14:00:00,163.636
2020-12-06,14:15:00,178.356
2020-12-06,14:30:00,171.452
2020-12-06,14:45:00,165.896
2020-12-06,15:00:00,161.812
2020-12-06,15:15:00,157.832
2020-12-06,15:30:00,160.384
2020-12-06,15:45:00,162.36
2020-12-06,16:00:00,156.808
2020-12-06,16:15:00,154.56
2020-12-06,16:30:00,172.396
2020-12-06,16:45:00,180.612
2020-12-06,17:00:00,171.08
2020-12-06,17:15:00,178.332
2020-12-06,17:30:00,189.768
2020-12-06,17:45:00,191.48
2020-12-06,18:00:00,188.676
2020-12-06,18:15:00,192.48
2020-12-06,18:30:00,193.032
2020-12-06,18:45:00,198.66
2020-12-06,19:00:00,209.124
