,time,power in kW
2020-01-01,00:15:00,114.904
2020-01-01,00:30:00,116.376
2020-01-01,00:45:00,117.72
2020-01-01,01:00:00,113.78
2020-01-01,01:15:00,116.048
2020-01-01,01:30:00,104.844
2020-01-01,01:45:00,101.32
2020-01-01,02:00:00,101.544
2020-01-01,02:15:00,100.544
2020-01-01,02:30:00,95.416
2020-01-01,02:45:00,92.56
2020-01-01,03:00:00,91.996
2020-01-01,03:15:00,88.984
2020-01-01,03:30:00,83.504
2020-01-01,03:45:00,80.516
2020-01-01,04:00:00,78.388
2020-01-01,04:15:00,76.26
2020-01-01,04:30:00,77.72
2020-01-01,04:45:00,73.044
2020-01-01,05:00:00,71.0
2020-01-01,05:15:00,73.028
2020-01-01,05:30:00,71.384
2020-01-01,05:45:00,73.552
2020-01-01,06:00:00,76.748
2020-01-01,06:15:00,73.14
2020-01-01,06:30:00,70.868
2020-01-01,06:45:00,73.96
2020-01-01,07:00:00,76.008
2020-01-01,07:15:00,79.096
2020-01-01,07:30:00,78.404
2020-01-01,07:45:00,81.48
2020-01-01,08:00:00,85.216
2020-01-01,08:15:00,89.712
2020-01-01,08:30:00,94.26
2020-01-01,08:45:00,100.992
2020-01-01,09:00:00,114.316
2020-01-01,09:15:00,112.644
2020-01-01,09:30:00,116.164
2020-01-01,09:45:00,122.976
2020-01-01,10:00:00,130.788
2020-01-01,10:15:00,132.936
2020-01-01,10:30:00,139.12
2020-01-01,10:45:00,152.268
2020-01-01,11:00:00,154.992
2020-01-01,11:15:00,167.532
2020-01-01,11:30:00,168.828
2020-01-01,11:45:00,178.2
2020-01-01,12:00:00,169.3
2020-01-01,12:15:00,180.936
2020-01-01,12:30:00,174.168
2020-01-01,12:45:00,178.256
2020-01-01,13:00:00,179.432
2020-01-01,13:15:00,177.74
2020-01-01,13:30:00,177.412
2020-01-01,13:45:00,176.22
2020-01-01,14:00:00,168.324
2020-01-01,14:15:00,166.464
2020-01-01,14:30:00,164.144
2020-01-01,14:45:00,162.192
2020-01-01,15:00:00,163.456
2020-01-01,15:15:00,166.6
2020-01-01,15:30:00,163.516
2020-01-01,15:45:00,165.804
2020-01-01,16:00:00,172.344
2020-01-01,16:15:00,171.26
2020-01-01,16:30:00,178.684
2020-01-01,16:45:00,178.26
2020-01-01,17:00:00,187.172
2020-01-01,17:15:00,208.836
2020-01-01,17:30:00,205.616
2020-01-01,17:45:00,210.724
2020-01-01,18:00:00,215.648
2020-01-01,18:15:00,220.484
2020-01-01,18:30:00,218.972
2020-01-01,18:45:00,216.616
2020-01-01,19:00:00,221.44
2020-01-01,19:15:00,216.556
2020-01-01,19:30:00,209.3
2020-01-01,19:45:00,202.92
2020-01-01,20:00:00,202.548
2020-01-01,20:15:00,199.052
2020-01-01,20:30:00,196.028
2020-01-01,20:45:00,185.468
2020-01-01,21:00:00,170.092
2020-01-01,21:15:00,170.708
2020-01-01,21:30:00,164.0
2020-01-01,21:45:00,150.344
2020-01-01,22:00:00,153.48
2020-01-01,22:15:00,149.092
2020-01-01,22:30:00,134.852
2020-01-01,22:45:00,134.128
2020-01-01,23:00:00,122.416
2020-01-01,23:15:00,114.22
2020-01-01,23:30:00,108.724
2020-01-01,23:45:00,103.56
2020-01-01,00:00:00,93.828
2020-01-02,00:15:00,86.692
2020-01-02,00:30:00,81.44
2020-01-02,00:45:00,80.1
2020-01-02,01:00:00,75.212
2020-01-02,01:15:00,70.124
2020-01-02,01:30:00,68.556
2020-01-02,01:45:00,67.376
2020-01-02,02:00:00,65.164
2020-01-02,02:15:00,67.236
2020-01-02,02:30:00,64.032
2020-01-02,02:45:00,63.288
2020-01-02,03:00:00,62.876
2020-01-02,03:15:00,65.9
2020-01-02,03:30:00,63.448
2020-01-02,03:45:00,65.284
2020-01-02,04:00:00,65.48
2020-01-02,04:15:00,65.416
2020-01-02,04:30:00,64.792
2020-01-02,04:45:00,69.604
2020-01-02,05:00:00,75.268
2020-01-02,05:15:00,75.628
2020-01-02,05:30:00,78.968
2020-01-02,05:45:00,82.58
2020-01-02,06:00:00,87.708
2020-01-02,06:15:00,98.36
2020-01-02,06:30:00,107.688
2020-01-02,06:45:00,118.668
2020-01-02,07:00:00,131.476
2020-01-02,07:15:00,131.788
2020-01-02,07:30:00,132.048
2020-01-02,07:45:00,132.22
2020-01-02,08:00:00,134.92
2020-01-02,08:15:00,132.672
2020-01-02,08:30:00,142.78
2020-01-02,08:45:00,142.436
2020-01-02,09:00:00,135.828
2020-01-02,09:15:00,143.728
2020-01-02,09:30:00,148.412
2020-01-02,09:45:00,140.092
2020-01-02,10:00:00,139.008
2020-01-02,10:15:00,134.336
2020-01-02,10:30:00,137.416
2020-01-02,10:45:00,135.148
2020-01-02,11:00:00,134.268
2020-01-02,11:15:00,135.984
2020-01-02,11:30:00,141.032
2020-01-02,11:45:00,153.536
2020-01-02,12:00:00,157.648
2020-01-02,12:15:00,170.004
2020-01-02,12:30:00,164.788
2020-01-02,12:45:00,162.384
2020-01-02,13:00:00,155.104
2020-01-02,13:15:00,143.692
2020-01-02,13:30:00,146.932
2020-01-02,13:45:00,141.492
2020-01-02,14:00:00,146.864
2020-01-02,14:15:00,147.556
2020-01-02,14:30:00,151.556
2020-01-02,14:45:00,152.056
2020-01-02,15:00:00,146.656
2020-01-02,15:15:00,146.632
2020-01-02,15:30:00,144.864
2020-01-02,15:45:00,145.784
2020-01-02,16:00:00,148.532
2020-01-02,16:15:00,154.988
2020-01-02,16:30:00,156.084
2020-01-02,16:45:00,166.884
2020-01-02,17:00:00,171.656
2020-01-02,17:15:00,186.796
2020-01-02,17:30:00,186.468
2020-01-02,17:45:00,184.36
2020-01-02,18:00:00,191.768
2020-01-02,18:15:00,204.048
2020-01-02,18:30:00,210.852
2020-01-02,18:45:00,213.08
2020-01-02,19:00:00,211.032
2020-01-02,19:15:00,207.316
2020-01-02,19:30:00,205.488
2020-01-02,19:45:00,205.304
2020-01-02,20:00:00,201.164
2020-01-02,20:15:00,202.144
2020-01-02,20:30:00,189.804
2020-01-02,20:45:00,180.804
2020-01-02,21:00:00,183.716
2020-01-02,21:15:00,180.128
2020-01-02,21:30:00,171.5
2020-01-02,21:45:00,157.048
2020-01-02,22:00:00,159.968
2020-01-02,22:15:00,150.744
2020-01-02,22:30:00,153.74
2020-01-02,22:45:00,152.644
2020-01-02,23:00:00,135.376
2020-01-02,23:15:00,112.976
2020-01-02,23:30:00,106.012
2020-01-02,23:45:00,103.232
2020-01-02,00:00:00,95.804
2020-01-03,00:15:00,90.988
2020-01-03,00:30:00,82.076
2020-01-03,00:45:00,79.316
2020-01-03,01:00:00,75.752
2020-01-03,01:15:00,72.5
2020-01-03,01:30:00,70.2
2020-01-03,01:45:00,68.316
2020-01-03,02:00:00,67.912
2020-01-03,02:15:00,66.368
2020-01-03,02:30:00,64.932
2020-01-03,02:45:00,63.56
2020-01-03,03:00:00,64.36
2020-01-03,03:15:00,64.64
2020-01-03,03:30:00,67.712
2020-01-03,03:45:00,68.064
2020-01-03,04:00:00,69.624
2020-01-03,04:15:00,67.104
2020-01-03,04:30:00,66.732
2020-01-03,04:45:00,70.448
2020-01-03,05:00:00,73.012
2020-01-03,05:15:00,77.108
2020-01-03,05:30:00,78.628
2020-01-03,05:45:00,87.22
2020-01-03,06:00:00,89.336
2020-01-03,06:15:00,105.208
2020-01-03,06:30:00,101.752
2020-01-03,06:45:00,117.74
2020-01-03,07:00:00,131.44
2020-01-03,07:15:00,129.692
2020-01-03,07:30:00,120.348
2020-01-03,07:45:00,123.676
2020-01-03,08:00:00,121.388
2020-01-03,08:15:00,129.672
2020-01-03,08:30:00,134.36
2020-01-03,08:45:00,134.408
2020-01-03,09:00:00,135.9
2020-01-03,09:15:00,141.756
2020-01-03,09:30:00,145.064
2020-01-03,09:45:00,138.88
