,time,power in kW
2020-06-01,00:15:00,81.168
2020-06-01,00:30:00,72.86
2020-06-01,00:45:00,70.964
2020-06-01,01:00:00,68.56
2020-06-01,01:15:00,65.612
2020-06-01,01:30:00,64.108
2020-06-01,01:45:00,60.004
2020-06-01,02:00:00,58.064
2020-06-01,02:15:00,57.816
2020-06-01,02:30:00,56.116
2020-06-01,02:45:00,55.384
2020-06-01,03:00:00,56.696
2020-06-01,03:15:00,55.472
2020-06-01,03:30:00,54.064
2020-06-01,03:45:00,54.408
2020-06-01,04:00:00,54.004
2020-06-01,04:15:00,55.684
2020-06-01,04:30:00,55.168
2020-06-01,04:45:00,53.444
2020-06-01,05:00:00,54.656
2020-06-01,05:15:00,57.084
2020-06-01,05:30:00,55.996
2020-06-01,05:45:00,58.2
2020-06-01,06:00:00,59.636
2020-06-01,06:15:00,64.176
2020-06-01,06:30:00,63.088
2020-06-01,06:45:00,64.664
2020-06-01,07:00:00,71.644
2020-06-01,07:15:00,74.64
2020-06-01,07:30:00,78.404
2020-06-01,07:45:00,84.764
2020-06-01,08:00:00,91.664
2020-06-01,08:15:00,94.624
2020-06-01,08:30:00,103.348
2020-06-01,08:45:00,112.096
2020-06-01,09:00:00,116.508
2020-06-01,09:15:00,122.452
2020-06-01,09:30:00,127.372
2020-06-01,09:45:00,128.24
2020-06-01,10:00:00,135.744
2020-06-01,10:15:00,136.788
2020-06-01,10:30:00,137.32
2020-06-01,10:45:00,133.468
2020-06-01,11:00:00,137.34
2020-06-01,11:15:00,139.184
2020-06-01,11:30:00,137.94
2020-06-01,11:45:00,137.272
2020-06-01,12:00:00,146.48
2020-06-01,12:15:00,147.956
2020-06-01,12:30:00,152.432
2020-06-01,12:45:00,141.108
2020-06-01,13:00:00,144.16
2020-06-01,13:15:00,139.724
2020-06-01,13:30:00,134.984
2020-06-01,13:45:00,127.624
2020-06-01,14:00:00,136.212
2020-06-01,14:15:00,133.588
2020-06-01,14:30:00,124.9
2020-06-01,14:45:00,122.368
2020-06-01,15:00:00,112.684
2020-06-01,15:15:00,115.112
2020-06-01,15:30:00,117.428
2020-06-01,15:45:00,116.62
2020-06-01,16:00:00,116.316
2020-06-01,16:15:00,115.416
2020-06-01,16:30:00,117.244
2020-06-01,16:45:00,113.152
2020-06-01,17:00:00,115.236
2020-06-01,17:15:00,117.676
2020-06-01,17:30:00,115.016
2020-06-01,17:45:00,121.564
2020-06-01,18:00:00,124.784
2020-06-01,18:15:00,134.172
2020-06-01,18:30:00,128.228
2020-06-01,18:45:00,127.548
2020-06-01,19:00:00,127.552
2020-06-01,19:15:00,130.184
2020-06-01,19:30:00,127.204
2020-06-01,19:45:00,136.492
2020-06-01,20:00:00,134.848
2020-06-01,20:15:00,131.772
2020-06-01,20:30:00,125.864
2020-06-01,20:45:00,124.356
2020-06-01,21:00:00,126.376
2020-06-01,21:15:00,129.436
2020-06-01,21:30:00,121.064
2020-06-01,21:45:00,126.256
2020-06-01,22:00:00,128.828
2020-06-01,22:15:00,122.836
2020-06-01,22:30:00,119.172
2020-06-01,22:45:00,107.42
2020-06-01,23:00:00,99.436
2020-06-01,23:15:00,88.332
2020-06-01,23:30:00,82.532
2020-06-01,23:45:00,77.664
2020-06-01,00:00:00,73.568
2020-06-02,00:15:00,70.34
2020-06-02,00:30:00,67.52
2020-06-02,00:45:00,62.644
2020-06-02,01:00:00,60.992
2020-06-02,01:15:00,58.62
2020-06-02,01:30:00,56.796
2020-06-02,01:45:00,57.516
2020-06-02,02:00:00,55.324
2020-06-02,02:15:00,55.016
2020-06-02,02:30:00,54.44
2020-06-02,02:45:00,54.344
2020-06-02,03:00:00,55.996
2020-06-02,03:15:00,53.524
2020-06-02,03:30:00,52.952
2020-06-02,03:45:00,51.524
2020-06-02,04:00:00,53.356
2020-06-02,04:15:00,54.968
2020-06-02,04:30:00,53.824
2020-06-02,04:45:00,57.808
2020-06-02,05:00:00,59.816
2020-06-02,05:15:00,63.428
2020-06-02,05:30:00,64.724
2020-06-02,05:45:00,72.08
2020-06-02,06:00:00,79.36
2020-06-02,06:15:00,90.624
2020-06-02,06:30:00,94.704
2020-06-02,06:45:00,101.204
2020-06-02,07:00:00,108.084
2020-06-02,07:15:00,104.26
2020-06-02,07:30:00,99.476
2020-06-02,07:45:00,99.96
2020-06-02,08:00:00,95.612
2020-06-02,08:15:00,96.7
2020-06-02,08:30:00,103.044
2020-06-02,08:45:00,103.832
2020-06-02,09:00:00,97.06
2020-06-02,09:15:00,91.68
2020-06-02,09:30:00,96.676
2020-06-02,09:45:00,99.76
2020-06-02,10:00:00,96.972
2020-06-02,10:15:00,97.06
2020-06-02,10:30:00,96.056
2020-06-02,10:45:00,93.36
2020-06-02,11:00:00,93.52
2020-06-02,11:15:00,93.184
2020-06-02,11:30:00,99.384
2020-06-02,11:45:00,102.908
2020-06-02,12:00:00,105.588
2020-06-02,12:15:00,111.676
2020-06-02,12:30:00,115.304
2020-06-02,12:45:00,114.136
2020-06-02,13:00:00,114.72
2020-06-02,13:15:00,118.028
2020-06-02,13:30:00,109.992
2020-06-02,13:45:00,105.556
2020-06-02,14:00:00,103.952
2020-06-02,14:15:00,109.916
2020-06-02,14:30:00,102.268
2020-06-02,14:45:00,102.74
2020-06-02,15:00:00,102.036
2020-06-02,15:15:00,102.052
2020-06-02,15:30:00,100.432
2020-06-02,15:45:00,104.964
2020-06-02,16:00:00,102.516
2020-06-02,16:15:00,107.452
2020-06-02,16:30:00,103.94
2020-06-02,16:45:00,102.76
2020-06-02,17:00:00,110.428
2020-06-02,17:15:00,111.796
2020-06-02,17:30:00,112.744
2020-06-02,17:45:00,110.128
2020-06-02,18:00:00,113.316
2020-06-02,18:15:00,117.724
2020-06-02,18:30:00,118.136
2020-06-02,18:45:00,118.3
2020-06-02,19:00:00,125.296
2020-06-02,19:15:00,123.624
2020-06-02,19:30:00,121.876
2020-06-02,19:45:00,127.908
2020-06-02,20:00:00,133.488
2020-06-02,20:15:00,126.712
2020-06-02,20:30:00,122.5
2020-06-02,20:45:00,123.752
2020-06-02,21:00:00,121.932
2020-06-02,21:15:00,125.424
2020-06-02,21:30:00,124.176
2020-06-02,21:45:00,122.944
