,time,power in kW
2020-04-01,00:15:00,73.084
2020-04-01,00:30:00,70.736
2020-04-01,00:45:00,66.256
2020-04-01,01:00:00,62.9
2020-04-01,01:15:00,60.256
2020-04-01,01:30:00,58.716
2020-04-01,01:45:00,58.692
2020-04-01,02:00:00,57.536
2020-04-01,02:15:00,58.052
2020-04-01,02:30:00,55.732
2020-04-01,02:45:00,54.488
2020-04-01,03:00:00,55.012
2020-04-01,03:15:00,56.544
2020-04-01,03:30:00,53.78
2020-04-01,03:45:00,53.912
2020-04-01,04:00:00,55.48
2020-04-01,04:15:00,57.688
2020-04-01,04:30:00,57.704
2020-04-01,04:45:00,62.904
2020-04-01,05:00:00,65.032
2020-04-01,05:15:00,66.1
2020-04-01,05:30:00,69.644
2020-04-01,05:45:00,75.38
2020-04-01,06:00:00,83.788
2020-04-01,06:15:00,92.888
2020-04-01,06:30:00,111.128
2020-04-01,06:45:00,117.06
2020-04-01,07:00:00,124.548
2020-04-01,07:15:00,116.164
2020-04-01,07:30:00,122.928
2020-04-01,07:45:00,119.22
2020-04-01,08:00:00,108.832
2020-04-01,08:15:00,113.188
2020-04-01,08:30:00,115.712
2020-04-01,08:45:00,114.804
2020-04-01,09:00:00,105.376
2020-04-01,09:15:00,108.788
2020-04-01,09:30:00,111.504
2020-04-01,09:45:00,110.568
2020-04-01,10:00:00,114.764
2020-04-01,10:15:00,123.296
2020-04-01,10:30:00,119.224
2020-04-01,10:45:00,108.096
2020-04-01,11:00:00,109.624
2020-04-01,11:15:00,115.728
2020-04-01,11:30:00,121.64
2020-04-01,11:45:00,125.432
2020-04-01,12:00:00,129.228
2020-04-01,12:15:00,119.408
2020-04-01,12:30:00,128.076
2020-04-01,12:45:00,129.876
2020-04-01,13:00:00,122.144
2020-04-01,13:15:00,123.368
2020-04-01,13:30:00,122.272
2020-04-01,13:45:00,117.164
2020-04-01,14:00:00,117.672
2020-04-01,14:15:00,121.604
2020-04-01,14:30:00,119.744
2020-04-01,14:45:00,118.492
2020-04-01,15:00:00,121.028
2020-04-01,15:15:00,118.016
2020-04-01,15:30:00,125.264
2020-04-01,15:45:00,115.428
2020-04-01,16:00:00,116.692
2020-04-01,16:15:00,119.644
2020-04-01,16:30:00,121.092
2020-04-01,16:45:00,111.812
2020-04-01,17:00:00,113.22
2020-04-01,17:15:00,124.14
2020-04-01,17:30:00,130.276
2020-04-01,17:45:00,137.496
2020-04-01,18:00:00,137.296
2020-04-01,18:15:00,143.38
2020-04-01,18:30:00,155.596
2020-04-01,18:45:00,156.576
2020-04-01,19:00:00,161.368
2020-04-01,19:15:00,159.02
2020-04-01,19:30:00,160.32
2020-04-01,19:45:00,175.74
2020-04-01,20:00:00,173.892
2020-04-01,20:15:00,154.368
2020-04-01,20:30:00,167.412
2020-04-01,20:45:00,165.7
2020-04-01,21:00:00,166.476
2020-04-01,21:15:00,159.32
2020-04-01,21:30:00,161.38
2020-04-01,21:45:00,145.596
2020-04-01,22:00:00,141.416
2020-04-01,22:15:00,128.864
2020-04-01,22:30:00,128.228
2020-04-01,22:45:00,114.416
2020-04-01,23:00:00,102.852
2020-04-01,23:15:00,95.376
2020-04-01,23:30:00,86.168
2020-04-01,23:45:00,81.448
2020-04-01,00:00:00,78.812
2020-04-02,00:15:00,75.276
2020-04-02,00:30:00,72.284
2020-04-02,00:45:00,68.104
2020-04-02,01:00:00,61.6
2020-04-02,01:15:00,60.548
2020-04-02,01:30:00,57.564
2020-04-02,01:45:00,57.664
2020-04-02,02:00:00,58.292
2020-04-02,02:15:00,56.184
2020-04-02,02:30:00,56.016
2020-04-02,02:45:00,55.14
2020-04-02,03:00:00,55.836
2020-04-02,03:15:00,56.672
2020-04-02,03:30:00,55.824
2020-04-02,03:45:00,53.44
2020-04-02,04:00:00,56.028
2020-04-02,04:15:00,56.336
2020-04-02,04:30:00,57.32
2020-04-02,04:45:00,62.552
2020-04-02,05:00:00,64.408
2020-04-02,05:15:00,71.664
2020-04-02,05:30:00,70.728
2020-04-02,05:45:00,79.756
2020-04-02,06:00:00,84.116
2020-04-02,06:15:00,89.328
2020-04-02,06:30:00,109.064
2020-04-02,06:45:00,149.372
2020-04-02,07:00:00,117.316
2020-04-02,07:15:00,115.864
2020-04-02,07:30:00,109.564
2020-04-02,07:45:00,112.68
2020-04-02,08:00:00,123.164
2020-04-02,08:15:00,118.004
2020-04-02,08:30:00,114.792
2020-04-02,08:45:00,107.64
2020-04-02,09:00:00,111.756
2020-04-02,09:15:00,104.996
2020-04-02,09:30:00,114.292
2020-04-02,09:45:00,118.848
2020-04-02,10:00:00,119.276
2020-04-02,10:15:00,118.736
2020-04-02,10:30:00,115.664
2020-04-02,10:45:00,113.844
2020-04-02,11:00:00,116.524
2020-04-02,11:15:00,112.452
2020-04-02,11:30:00,115.788
2020-04-02,11:45:00,122.7
2020-04-02,12:00:00,124.396
2020-04-02,12:15:00,127.856
2020-04-02,12:30:00,139.976
2020-04-02,12:45:00,134.284
2020-04-02,13:00:00,131.62
2020-04-02,13:15:00,118.352
2020-04-02,13:30:00,119.16
2020-04-02,13:45:00,123.92
2020-04-02,14:00:00,118.908
2020-04-02,14:15:00,121.02
2020-04-02,14:30:00,120.628
2020-04-02,14:45:00,123.536
2020-04-02,15:00:00,119.98
2020-04-02,15:15:00,117.88
2020-04-02,15:30:00,121.264
2020-04-02,15:45:00,112.92
2020-04-02,16:00:00,116.476
2020-04-02,16:15:00,118.868
2020-04-02,16:30:00,134.816
2020-04-02,16:45:00,126.48
2020-04-02,17:00:00,132.836
2020-04-02,17:15:00,128.048
2020-04-02,17:30:00,127.888
2020-04-02,17:45:00,126.136
2020-04-02,18:00:00,126.316
2020-04-02,18:15:00,131.732
2020-04-02,18:30:00,143.164
2020-04-02,18:45:00,144.268
2020-04-02,19:00:00,152.652
2020-04-02,19:15:00,150.572
2020-04-02,19:30:00,145.144
2020-04-02,19:45:00,147.66
2020-04-02,20:00:00,150.816
2020-04-02,20:15:00,160.16
2020-04-02,20:30:00,154.552
2020-04-02,20:45:00,157.068
2020-04-02,21:00:00,152.892
2020-04-02,21:15:00,146.256
2020-04-02,21:30:00,147.28
2020-04-02,21:45:00,148.096
2020-04-02,22:00:00,147.856
2020-04-02,22:15:00,135.096
2020-04-02,22:30:00,127.924
2020-04-02,22:45:00,119.288
2020-04-02,23:00:00,114.316
2020-04-02,23:15:00,103.108
2020-04-02,23:30:00,91.424
2020-04-02,23:45:00,85.412
2020-04-02,00:00:00,79.064
2020-04-03,00:15:00,75.328
2020-04-03,00:30:00,70.936
2020-04-03,00:45:00,67.036
2020-04-03,01:00:00,64.24
2020-04-03,01:15:00,63.28
2020-04-03,01:30:00,61.916
2020-04-03,01:45:00,59.688
2020-04-03,02:00:00,57.468
2020-04-03,02:15:00,57.06
2020-04-03,02:30:00,57.076
2020-04-03,02:45:00,59.448
2020-04-03,03:00:00,60.228
2020-04-03,03:15:00,57.412
2020-04-03,03:30:00,56.472
2020-04-03,03:45:00,59.224
2020-04-03,04:00:00,59.404
2020-04-03,04:15:00,61.06
2020-04-03,04:30:00,58.436
2020-04-03,04:45:00,64.8
2020-04-03,05:00:00,65.604
2020-04-03,05:15:00,71.264
2020-04-03,05:30:00,75.576
2020-04-03,05:45:00,80.356
2020-04-03,06:00:00,87.508
2020-04-03,06:15:00,97.892
2020-04-03,06:30:00,104.304
2020-04-03,06:45:00,117.556
2020-04-03,07:00:00,115.636
2020-04-03,07:15:00,123.072
2020-04-03,07:30:00,115.208
2020-04-03,07:45:00,119.072
2020-04-03,08:00:00,120.856
2020-04-03,08:15:00,115.328
2020-04-03,08:30:00,122.336
2020-04-03,08:45:00,110.588
2020-04-03,09:00:00,106.168
2020-04-03,09:15:00,120.152
2020-04-03,09:30:00,118.116
2020-04-03,09:45:00,116.876
2020-04-03,10:00:00,118.772
2020-04-03,10:15:00,128.82
2020-04-03,10:30:00,115.516
2020-04-03,10:45:00,115.652
2020-04-03,11:00:00,117.112
2020-04-03,11:15:00,121.028
2020-04-03,11:30:00,113.616
2020-04-03,11:45:00,119.028
2020-04-03,12:00:00,126.848
2020-04-03,12:15:00,127.16
2020-04-03,12:30:00,131.752
2020-04-03,12:45:00,130.64
2020-04-03,13:00:00,127.568
2020-04-03,13:15:00,132.784
2020-04-03,13:30:00,125.204
2020-04-03,13:45:00,121.824
2020-04-03,14:00:00,120.756
2020-04-03,14:15:00,123.964
2020-04-03,14:30:00,120.368
2020-04-03,14:45:00,120.252
2020-04-03,15:00:00,122.364
2020-04-03,15:15:00,114.904
2020-04-03,15:30:00,119.192
2020-04-03,15:45:00,121.04
2020-04-03,16:00:00,118.204
2020-04-03,16:15:00,124.92
2020-04-03,16:30:00,118.76
2020-04-03,16:45:00,121.36
2020-04-03,17:00:00,132.084
2020-04-03,17:15:00,123.828
2020-04-03,17:30:00,120.832
2020-04-03,17:45:00,132.176
2020-04-03,18:00:00,130.988
2020-04-03,18:15:00,143.38
2020-04-03,18:30:00,140.488
2020-04-03,18:45:00,145.16
2020-04-03,19:00:00,142.832
2020-04-03,19:15:00,146.916
2020-04-03,19:30:00,150.364
2020-04-03,19:45:00,146.144
2020-04-03,20:00:00,154.076
2020-04-03,20:15:00,155.8
2020-04-03,20:30:00,164.004
2020-04-03,20:45:00,161.436
2020-04-03,21:00:00,148.144
2020-04-03,21:15:00,141.832
2020-04-03,21:30:00,144.752
2020-04-03,21:45:00,138.18
2020-04-03,22:00:00,138.012
2020-04-03,22:15:00,153.328
2020-04-03,22:30:00,141.756
2020-04-03,22:45:00,136.236
2020-04-03,23:00:00,133.964
2020-04-03,23:15:00,107.664
2020-04-03,23:30:00,101.296
2020-04-03,23:45:00,92.752
2020-04-03,00:00:00,86.548
2020-04-04,00:15:00,79.924
2020-04-04,00:30:00,77.02
2020-04-04,00:45:00,74.172
2020-04-04,01:00:00,68.28
2020-04-04,01:15:00,64.2
2020-04-04,01:30:00,63.352
2020-04-04,01:45:00,61.52
2020-04-04,02:00:00,61.232
2020-04-04,02:15:00,58.668
2020-04-04,02:30:00,58.632
2020-04-04,02:45:00,56.412
2020-04-04,03:00:00,56.196
2020-04-04,03:15:00,55.988
2020-04-04,03:30:00,56.552
2020-04-04,03:45:00,55.68
2020-04-04,04:00:00,57.372
2020-04-04,04:15:00,56.576
2020-04-04,04:30:00,55.844
2020-04-04,04:45:00,56.036
2020-04-04,05:00:00,57.624
2020-04-04,05:15:00,58.352
2020-04-04,05:30:00,62.072
2020-04-04,05:45:00,63.18
2020-04-04,06:00:00,64.4
2020-04-04,06:15:00,70.528
2020-04-04,06:30:00,69.996
2020-04-04,06:45:00,75.96
2020-04-04,07:00:00,92.916
2020-04-04,07:15:00,99.928
2020-04-04,07:30:00,102.752
2020-04-04,07:45:00,111.712
2020-04-04,08:00:00,109.552
2020-04-04,08:15:00,127.832
2020-04-04,08:30:00,144.316
2020-04-04,08:45:00,140.184
2020-04-04,09:00:00,135.02
2020-04-04,09:15:00,145.412
2020-04-04,09:30:00,153.612
2020-04-04,09:45:00,161.996
2020-04-04,10:00:00,151.2
2020-04-04,10:15:00,149.228
2020-04-04,10:30:00,166.96
2020-04-04,10:45:00,179.708
2020-04-04,11:00:00,167.156
2020-04-04,11:15:00,169.456
2020-04-04,11:30:00,155.336
2020-04-04,11:45:00,152.548
2020-04-04,12:00:00,144.912
2020-04-04,12:15:00,145.528
2020-04-04,12:30:00,144.116
2020-04-04,12:45:00,148.62
2020-04-04,13:00:00,149.044
2020-04-04,13:15:00,144.696
2020-04-04,13:30:00,138.532
2020-04-04,13:45:00,126.972
2020-04-04,14:00:00,131.0
2020-04-04,14:15:00,147.444
2020-04-04,14:30:00,133.876
2020-04-04,14:45:00,128.876
2020-04-04,15:00:00,135.732
2020-04-04,15:15:00,134.84
2020-04-04,15:30:00,132.16
2020-04-04,15:45:00,124.888
2020-04-04,16:00:00,128.508
2020-04-04,16:15:00,139.4
2020-04-04,16:30:00,143.092
2020-04-04,16:45:00,139.184
2020-04-04,17:00:00,132.912
2020-04-04,17:15:00,136.42
2020-04-04,17:30:00,146.204
2020-04-04,17:45:00,146.392
2020-04-04,18:00:00,138.536
2020-04-04,18:15:00,144.624
2020-04-04,18:30:00,161.708
2020-04-04,18:45:00,154.0
2020-04-04,19:00:00,146.364
2020-04-04,19:15:00,149.124
2020-04-04,19:30:00,150.008
