,time,power in kW
2020-08-01,00:15:00,52.588
2020-08-01,00:30:00,51.208
2020-08-01,00:45:00,42.408
2020-08-01,01:00:00,46.088
2020-08-01,01:15:00,49.348
2020-08-01,01:30:00,48.784
2020-08-01,01:45:00,45.492
2020-08-01,02:00:00,43.372
2020-08-01,02:15:00,47.444
2020-08-01,02:30:00,41.984
2020-08-01,02:45:00,45.02
2020-08-01,03:00:00,36.072
2020-08-01,03:15:00,40.628
2020-08-01,03:30:00,44.08
2020-08-01,03:45:00,40.564
2020-08-01,04:00:00,39.62
2020-08-01,04:15:00,40.24
2020-08-01,04:30:00,42.62
2020-08-01,04:45:00,48.364
2020-08-01,05:00:00,50.052
2020-08-01,05:15:00,51.98
2020-08-01,05:30:00,36.46
2020-08-01,05:45:00,57.284
2020-08-01,06:00:00,45.856
2020-08-01,06:15:00,44.288
2020-08-01,06:30:00,43.86
2020-08-01,06:45:00,37.216
2020-08-01,07:00:00,24.812
2020-08-01,07:15:00,11.54
2020-08-01,07:30:00,10.912
2020-08-01,07:45:00,32.116
2020-08-01,08:00:00,33.812
2020-08-01,08:15:00,66.632
2020-08-01,08:30:00,78.196
2020-08-01,08:45:00,71.388
2020-08-01,09:00:00,75.776
2020-08-01,09:15:00,74.772
2020-08-01,09:30:00,80.244
2020-08-01,09:45:00,92.26
2020-08-01,10:00:00,113.028
2020-08-01,10:15:00,121.204
2020-08-01,10:30:00,139.98
2020-08-01,10:45:00,148.74
2020-08-01,11:00:00,150.292
2020-08-01,11:15:00,148.452
2020-08-01,11:30:00,151.152
2020-08-01,11:45:00,143.196
2020-08-01,12:00:00,141.416
2020-08-01,12:15:00,123.004
2020-08-01,12:30:00,113.996
2020-08-01,12:45:00,93.188
2020-08-01,13:00:00,110.976
2020-08-01,13:15:00,115.296
2020-08-01,13:30:00,118.168
2020-08-01,13:45:00,147.076
2020-08-01,14:00:00,110.408
2020-08-01,14:15:00,90.452
2020-08-01,14:30:00,99.616
2020-08-01,14:45:00,81.696
2020-08-01,15:00:00,52.16
2020-08-01,15:15:00,88.46
2020-08-01,15:30:00,85.568
2020-08-01,15:45:00,81.304
2020-08-01,16:00:00,81.476
2020-08-01,16:15:00,101.428
2020-08-01,16:30:00,111.268
2020-08-01,16:45:00,96.648
2020-08-01,17:00:00,109.744
2020-08-01,17:15:00,93.888
2020-08-01,17:30:00,85.4
2020-08-01,17:45:00,112.628
2020-08-01,18:00:00,116.036
2020-08-01,18:15:00,109.612
2020-08-01,18:30:00,104.78
2020-08-01,18:45:00,85.82
2020-08-01,19:00:00,61.864
2020-08-01,19:15:00,79.644
2020-08-01,19:30:00,67.376
2020-08-01,19:45:00,56.952
2020-08-01,20:00:00,66.724
2020-08-01,20:15:00,57.552
2020-08-01,20:30:00,62.428
2020-08-01,20:45:00,65.34
2020-08-01,21:00:00,78.864
2020-08-01,21:15:00,73.144
2020-08-01,21:30:00,85.236
2020-08-01,21:45:00,60.144
2020-08-01,22:00:00,68.028
2020-08-01,22:15:00,74.484
2020-08-01,22:30:00,76.656
2020-08-01,22:45:00,67.248
2020-08-01,23:00:00,66.056
2020-08-01,23:15:00,56.576
2020-08-01,23:30:00,51.54
2020-08-01,23:45:00,45.764
2020-08-01,00:00:00,56.78
2020-08-02,00:15:00,66.012
2020-08-02,00:30:00,68.6
2020-08-02,00:45:00,59.064
2020-08-02,01:00:00,52.492
2020-08-02,01:15:00,61.088
2020-08-02,01:30:00,60.616
2020-08-02,01:45:00,58.628
2020-08-02,02:00:00,54.364
2020-08-02,02:15:00,49.632
2020-08-02,02:30:00,49.464
2020-08-02,02:45:00,50.2
2020-08-02,03:00:00,50.784
2020-08-02,03:15:00,41.484
2020-08-02,03:30:00,44.368
2020-08-02,03:45:00,49.708
2020-08-02,04:00:00,52.204
2020-08-02,04:15:00,48.02
2020-08-02,04:30:00,50.928
