,time,power in kW
2020-02-01,00:15:00,85.336
2020-02-01,00:30:00,79.432
2020-02-01,00:45:00,68.14
2020-02-01,01:00:00,71.016
2020-02-01,01:15:00,93.776
2020-02-01,01:30:00,84.712
2020-02-01,01:45:00,70.388
2020-02-01,02:00:00,82.944
2020-02-01,02:15:00,71.936
2020-02-01,02:30:00,83.272
2020-02-01,02:45:00,74.38
2020-02-01,03:00:00,66.22
2020-02-01,03:15:00,78.336
2020-02-01,03:30:00,80.612
2020-02-01,03:45:00,78.4
2020-02-01,04:00:00,82.596
2020-02-01,04:15:00,77.064
2020-02-01,04:30:00,75.164
2020-02-01,04:45:00,80.364
2020-02-01,05:00:00,76.548
2020-02-01,05:15:00,80.256
2020-02-01,05:30:00,83.66
2020-02-01,05:45:00,71.552
2020-02-01,06:00:00,70.244
2020-02-01,06:15:00,92.784
2020-02-01,06:30:00,89.128
2020-02-01,06:45:00,78.396
2020-02-01,07:00:00,39.676
2020-02-01,07:15:00,48.972
2020-02-01,07:30:00,60.9
2020-02-01,07:45:00,79.98
2020-02-01,08:00:00,64.9
2020-02-01,08:15:00,121.452
2020-02-01,08:30:00,88.948
2020-02-01,08:45:00,115.748
2020-02-01,09:00:00,141.54
2020-02-01,09:15:00,133.664
2020-02-01,09:30:00,122.484
2020-02-01,09:45:00,129.348
2020-02-01,10:00:00,136.984
2020-02-01,10:15:00,131.472
2020-02-01,10:30:00,138.808
2020-02-01,10:45:00,185.628
2020-02-01,11:00:00,155.756
2020-02-01,11:15:00,164.628
2020-02-01,11:30:00,199.612
2020-02-01,11:45:00,185.196
2020-02-01,12:00:00,195.552
2020-02-01,12:15:00,161.884
2020-02-01,12:30:00,177.164
2020-02-01,12:45:00,135.9
2020-02-01,13:00:00,123.476
2020-02-01,13:15:00,113.2
2020-02-01,13:30:00,142.168
2020-02-01,13:45:00,112.74
2020-02-01,14:00:00,145.068
2020-02-01,14:15:00,152.532
2020-02-01,14:30:00,155.096
2020-02-01,14:45:00,155.964
2020-02-01,15:00:00,96.496
2020-02-01,15:15:00,124.74
2020-02-01,15:30:00,144.468
2020-02-01,15:45:00,95.624
2020-02-01,16:00:00,123.536
2020-02-01,16:15:00,98.592
2020-02-01,16:30:00,48.424
2020-02-01,16:45:00,37.856
2020-02-01,17:00:00,47.596
2020-02-01,17:15:00,118.4
2020-02-01,17:30:00,105.428
2020-02-01,17:45:00,106.424
2020-02-01,18:00:00,89.64
2020-02-01,18:15:00,109.852
2020-02-01,18:30:00,138.008
2020-02-01,18:45:00,122.584
2020-02-01,19:00:00,93.716
2020-02-01,19:15:00,48.048
2020-02-01,19:30:00,93.592
2020-02-01,19:45:00,101.768
2020-02-01,20:00:00,122.712
2020-02-01,20:15:00,111.372
2020-02-01,20:30:00,103.352
2020-02-01,20:45:00,103.328
2020-02-01,21:00:00,132.272
2020-02-01,21:15:00,99.1
2020-02-01,21:30:00,115.78
2020-02-01,21:45:00,121.892
2020-02-01,22:00:00,117.596
2020-02-01,22:15:00,125.964
2020-02-01,22:30:00,126.628
2020-02-01,22:45:00,112.344
2020-02-01,23:00:00,100.088
2020-02-01,23:15:00,96.872
2020-02-01,23:30:00,105.844
2020-02-01,23:45:00,103.264
2020-02-01,00:00:00,105.424
2020-02-02,00:15:00,76.964
2020-02-02,00:30:00,76.404
2020-02-02,00:45:00,71.384
2020-02-02,01:00:00,76.156
2020-02-02,01:15:00,76.132
2020-02-02,01:30:00,81.176
2020-02-02,01:45:00,86.796
2020-02-02,02:00:00,82.172
2020-02-02,02:15:00,79.924
2020-02-02,02:30:00,83.432
2020-02-02,02:45:00,87.304
2020-02-02,03:00:00,78.708
2020-02-02,03:15:00,82.576
2020-02-02,03:30:00,71.592
2020-02-02,03:45:00,71.104
2020-02-02,04:00:00,77.384
2020-02-02,04:15:00,73.676
2020-02-02,04:30:00,72.836
2020-02-02,04:45:00,79.08
2020-02-02,05:00:00,65.672
2020-02-02,05:15:00,64.892
2020-02-02,05:30:00,59.776
2020-02-02,05:45:00,50.884
2020-02-02,06:00:00,40.232
2020-02-02,06:15:00,52.936
2020-02-02,06:30:00,41.772
2020-02-02,06:45:00,54.248
2020-02-02,07:00:00,93.276
2020-02-02,07:15:00,55.096
2020-02-02,07:30:00,71.452
2020-02-02,07:45:00,66.968
2020-02-02,08:00:00,49.584
2020-02-02,08:15:00,59.144
2020-02-02,08:30:00,47.804
2020-02-02,08:45:00,55.388
2020-02-02,09:00:00,64.676
2020-02-02,09:15:00,93.336
2020-02-02,09:30:00,108.348
2020-02-02,09:45:00,125.936
2020-02-02,10:00:00,129.292
2020-02-02,10:15:00,126.516
2020-02-02,10:30:00,128.736
2020-02-02,10:45:00,117.756
2020-02-02,11:00:00,144.572
2020-02-02,11:15:00,164.944
2020-02-02,11:30:00,158.376
2020-02-02,11:45:00,167.46
2020-02-02,12:00:00,139.612
2020-02-02,12:15:00,130.32
2020-02-02,12:30:00,155.296
2020-02-02,12:45:00,92.176
2020-02-02,13:00:00,153.068
2020-02-02,13:15:00,152.796
2020-02-02,13:30:00,156.292
2020-02-02,13:45:00,111.052
2020-02-02,14:00:00,96.804
2020-02-02,14:15:00,122.144
2020-02-02,14:30:00,144.944
2020-02-02,14:45:00,142.692
2020-02-02,15:00:00,142.6
2020-02-02,15:15:00,151.236
2020-02-02,15:30:00,154.916
2020-02-02,15:45:00,105.612
2020-02-02,16:00:00,53.796
2020-02-02,16:15:00,10.192
2020-02-02,16:30:00,47.984
2020-02-02,16:45:00,95.284
2020-02-02,17:00:00,107.004
2020-02-02,17:15:00,75.18
2020-02-02,17:30:00,83.804
2020-02-02,17:45:00,81.084
2020-02-02,18:00:00,89.528
2020-02-02,18:15:00,75.612
2020-02-02,18:30:00,113.528
2020-02-02,18:45:00,127.288
2020-02-02,19:00:00,89.36
2020-02-02,19:15:00,22.092
2020-02-02,19:30:00,46.012
2020-02-02,19:45:00,102.036
2020-02-02,20:00:00,58.552
2020-02-02,20:15:00,95.592
2020-02-02,20:30:00,101.096
2020-02-02,20:45:00,93.476
2020-02-02,21:00:00,92.468
2020-02-02,21:15:00,91.38
2020-02-02,21:30:00,86.244
2020-02-02,21:45:00,57.676
2020-02-02,22:00:00,89.212
2020-02-02,22:15:00,78.872
2020-02-02,22:30:00,82.084
2020-02-02,22:45:00,88.608
2020-02-02,23:00:00,89.756
2020-02-02,23:15:00,85.372
2020-02-02,23:30:00,76.036
2020-02-02,23:45:00,89.12
2020-02-02,00:00:00,78.588
2020-02-03,00:15:00,81.844
2020-02-03,00:30:00,70.684
2020-02-03,00:45:00,72.664
2020-02-03,01:00:00,72.268
2020-02-03,01:15:00,66.356
2020-02-03,01:30:00,68.224
2020-02-03,01:45:00,74.828
2020-02-03,02:00:00,71.096
2020-02-03,02:15:00,69.7
2020-02-03,02:30:00,67.38
2020-02-03,02:45:00,65.0
2020-02-03,03:00:00,68.216
2020-02-03,03:15:00,66.884
2020-02-03,03:30:00,58.62
2020-02-03,03:45:00,59.34
2020-02-03,04:00:00,63.956
2020-02-03,04:15:00,64.524
2020-02-03,04:30:00,58.444
2020-02-03,04:45:00,54.216
2020-02-03,05:00:00,55.416
2020-02-03,05:15:00,53.72
2020-02-03,05:30:00,55.28
2020-02-03,05:45:00,59.656
2020-02-03,06:00:00,71.584
2020-02-03,06:15:00,71.972
2020-02-03,06:30:00,31.84
2020-02-03,06:45:00,81.256
2020-02-03,07:00:00,92.94
2020-02-03,07:15:00,102.144
2020-02-03,07:30:00,133.452
2020-02-03,07:45:00,138.0
2020-02-03,08:00:00,177.224
2020-02-03,08:15:00,204.196
2020-02-03,08:30:00,183.632
2020-02-03,08:45:00,190.48
2020-02-03,09:00:00,216.744
2020-02-03,09:15:00,231.436
2020-02-03,09:30:00,242.228
2020-02-03,09:45:00,241.636
2020-02-03,10:00:00,222.776
2020-02-03,10:15:00,255.58
2020-02-03,10:30:00,238.604
2020-02-03,10:45:00,261.648
2020-02-03,11:00:00,236.664
2020-02-03,11:15:00,303.684
2020-02-03,11:30:00,270.744
2020-02-03,11:45:00,290.26
2020-02-03,12:00:00,276.78
2020-02-03,12:15:00,267.924
2020-02-03,12:30:00,258.588
2020-02-03,12:45:00,258.32
2020-02-03,13:00:00,256.288
2020-02-03,13:15:00,257.264
2020-02-03,13:30:00,268.156
2020-02-03,13:45:00,253.9
2020-02-03,14:00:00,205.196
2020-02-03,14:15:00,200.704
2020-02-03,14:30:00,233.592
2020-02-03,14:45:00,256.692
2020-02-03,15:00:00,256.172
2020-02-03,15:15:00,248.676
2020-02-03,15:30:00,207.452
2020-02-03,15:45:00,198.236
2020-02-03,16:00:00,198.268
2020-02-03,16:15:00,208.004
2020-02-03,16:30:00,186.308
2020-02-03,16:45:00,170.492
2020-02-03,17:00:00,153.64
2020-02-03,17:15:00,165.48
2020-02-03,17:30:00,227.312
2020-02-03,17:45:00,194.64
2020-02-03,18:00:00,225.132
2020-02-03,18:15:00,193.484
2020-02-03,18:30:00,185.196
2020-02-03,18:45:00,176.808
2020-02-03,19:00:00,147.564
2020-02-03,19:15:00,141.836
2020-02-03,19:30:00,129.304
2020-02-03,19:45:00,109.712
2020-02-03,20:00:00,124.256
2020-02-03,20:15:00,122.98
2020-02-03,20:30:00,137.312
2020-02-03,20:45:00,113.5
2020-02-03,21:00:00,108.664
2020-02-03,21:15:00,119.1
2020-02-03,21:30:00,115.516
2020-02-03,21:45:00,98.632
2020-02-03,22:00:00,92.428
2020-02-03,22:15:00,106.184
2020-02-03,22:30:00,115.26
2020-02-03,22:45:00,107.084
2020-02-03,23:00:00,89.544
2020-02-03,23:15:00,105.776
2020-02-03,23:30:00,83.756
2020-02-03,23:45:00,96.548
2020-02-03,00:00:00,81.228
2020-02-04,00:15:00,70.016
2020-02-04,00:30:00,82.204
2020-02-04,00:45:00,85.604
2020-02-04,01:00:00,76.056
2020-02-04,01:15:00,70.732
2020-02-04,01:30:00,76.008
2020-02-04,01:45:00,69.956
2020-02-04,02:00:00,61.812
2020-02-04,02:15:00,61.02
2020-02-04,02:30:00,58.54
2020-02-04,02:45:00,55.68
2020-02-04,03:00:00,60.0
2020-02-04,03:15:00,63.956
2020-02-04,03:30:00,62.596
2020-02-04,03:45:00,62.356
2020-02-04,04:00:00,70.8
2020-02-04,04:15:00,64.224
2020-02-04,04:30:00,62.16
2020-02-04,04:45:00,63.644
2020-02-04,05:00:00,60.216
2020-02-04,05:15:00,68.836
2020-02-04,05:30:00,75.06
2020-02-04,05:45:00,74.644
2020-02-04,06:00:00,84.248
2020-02-04,06:15:00,83.848
2020-02-04,06:30:00,75.92
2020-02-04,06:45:00,29.108
2020-02-04,07:00:00,62.82
2020-02-04,07:15:00,125.02
2020-02-04,07:30:00,120.068
2020-02-04,07:45:00,169.52
2020-02-04,08:00:00,211.62
2020-02-04,08:15:00,226.072
2020-02-04,08:30:00,195.912
2020-02-04,08:45:00,216.8
2020-02-04,09:00:00,224.36
2020-02-04,09:15:00,239.864
2020-02-04,09:30:00,257.652
2020-02-04,09:45:00,229.428
2020-02-04,10:00:00,232.932
2020-02-04,10:15:00,265.64
2020-02-04,10:30:00,273.508
2020-02-04,10:45:00,294.236
2020-02-04,11:00:00,278.86
2020-02-04,11:15:00,304.368
2020-02-04,11:30:00,304.388
2020-02-04,11:45:00,293.86
2020-02-04,12:00:00,287.252
2020-02-04,12:15:00,274.416
2020-02-04,12:30:00,270.408
2020-02-04,12:45:00,259.288
2020-02-04,13:00:00,264.88
2020-02-04,13:15:00,245.312
2020-02-04,13:30:00,266.556
2020-02-04,13:45:00,258.616
2020-02-04,14:00:00,264.004
2020-02-04,14:15:00,250.52
2020-02-04,14:30:00,237.192
2020-02-04,14:45:00,262.22
2020-02-04,15:00:00,242.232
2020-02-04,15:15:00,232.684
2020-02-04,15:30:00,213.276
2020-02-04,15:45:00,200.524
2020-02-04,16:00:00,197.5
2020-02-04,16:15:00,175.54
2020-02-04,16:30:00,166.252
2020-02-04,16:45:00,176.412
2020-02-04,17:00:00,194.52
2020-02-04,17:15:00,187.528
2020-02-04,17:30:00,188.692
2020-02-04,17:45:00,163.244
2020-02-04,18:00:00,156.716
2020-02-04,18:15:00,189.044
2020-02-04,18:30:00,192.716
2020-02-04,18:45:00,178.568
2020-02-04,19:00:00,195.744
2020-02-04,19:15:00,191.788
2020-02-04,19:30:00,141.572
2020-02-04,19:45:00,72.308
2020-02-04,20:00:00,117.388
2020-02-04,20:15:00,97.564
2020-02-04,20:30:00,101.328
2020-02-04,20:45:00,119.604
2020-02-04,21:00:00,123.404
2020-02-04,21:15:00,120.984
2020-02-04,21:30:00,109.236
2020-02-04,21:45:00,101.76
2020-02-04,22:00:00,94.2
2020-02-04,22:15:00,116.648
2020-02-04,22:30:00,115.604
2020-02-04,22:45:00,97.908
2020-02-04,23:00:00,81.784
