,time,power in kW
2020-10-01,00:15:00,55.892
2020-10-01,00:30:00,56.04
2020-10-01,00:45:00,59.724
2020-10-01,01:00:00,60.248
2020-10-01,01:15:00,61.852
2020-10-01,01:30:00,62.476
2020-10-01,01:45:00,60.468
2020-10-01,02:00:00,56.508
2020-10-01,02:15:00,55.392
2020-10-01,02:30:00,48.268
2020-10-01,02:45:00,55.096
2020-10-01,03:00:00,56.116
2020-10-01,03:15:00,59.264
2020-10-01,03:30:00,51.4
2020-10-01,03:45:00,58.636
2020-10-01,04:00:00,50.54
2020-10-01,04:15:00,63.736
2020-10-01,04:30:00,59.872
2020-10-01,04:45:00,60.744
2020-10-01,05:00:00,60.252
2020-10-01,05:15:00,72.052
2020-10-01,05:30:00,56.512
2020-10-01,05:45:00,73.788
2020-10-01,06:00:00,77.172
2020-10-01,06:15:00,97.976
2020-10-01,06:30:00,100.964
2020-10-01,06:45:00,106.428
2020-10-01,07:00:00,89.156
2020-10-01,07:15:00,134.352
2020-10-01,07:30:00,135.74
2020-10-01,07:45:00,166.94
2020-10-01,08:00:00,177.66
2020-10-01,08:15:00,179.84
2020-10-01,08:30:00,169.412
2020-10-01,08:45:00,174.24
2020-10-01,09:00:00,161.168
2020-10-01,09:15:00,187.64
2020-10-01,09:30:00,180.352
2020-10-01,09:45:00,200.016
2020-10-01,10:00:00,223.72
2020-10-01,10:15:00,221.316
2020-10-01,10:30:00,199.864
2020-10-01,10:45:00,228.728
2020-10-01,11:00:00,248.988
2020-10-01,11:15:00,222.48
2020-10-01,11:30:00,248.308
2020-10-01,11:45:00,214.672
2020-10-01,12:00:00,219.64
2020-10-01,12:15:00,197.968
2020-10-01,12:30:00,205.452
2020-10-01,12:45:00,210.956
2020-10-01,13:00:00,203.28
2020-10-01,13:15:00,192.248
2020-10-01,13:30:00,167.248
2020-10-01,13:45:00,155.772
2020-10-01,14:00:00,157.616
2020-10-01,14:15:00,162.724
2020-10-01,14:30:00,179.48
2020-10-01,14:45:00,193.108
2020-10-01,15:00:00,213.192
2020-10-01,15:15:00,183.34
2020-10-01,15:30:00,184.444
2020-10-01,15:45:00,185.064
2020-10-01,16:00:00,172.116
2020-10-01,16:15:00,122.116
2020-10-01,16:30:00,154.08
2020-10-01,16:45:00,168.672
2020-10-01,17:00:00,171.94
2020-10-01,17:15:00,165.06
2020-10-01,17:30:00,157.856
2020-10-01,17:45:00,152.004
2020-10-01,18:00:00,165.084
2020-10-01,18:15:00,137.292
2020-10-01,18:30:00,142.0
2020-10-01,18:45:00,168.844
2020-10-01,19:00:00,169.044
2020-10-01,19:15:00,120.096
2020-10-01,19:30:00,139.632
2020-10-01,19:45:00,159.352
2020-10-01,20:00:00,148.652
2020-10-01,20:15:00,129.448
2020-10-01,20:30:00,102.968
2020-10-01,20:45:00,111.052
2020-10-01,21:00:00,102.86
2020-10-01,21:15:00,64.328
2020-10-01,21:30:00,86.592
2020-10-01,21:45:00,77.108
2020-10-01,22:00:00,64.452
2020-10-01,22:15:00,34.776
2020-10-01,22:30:00,64.116
2020-10-01,22:45:00,59.492
2020-10-01,23:00:00,63.632
2020-10-01,23:15:00,54.096
2020-10-01,23:30:00,55.12
2020-10-01,23:45:00,52.936
2020-10-01,00:00:00,54.772
2020-10-02,00:15:00,65.292
2020-10-02,00:30:00,66.384
2020-10-02,00:45:00,66.844
2020-10-02,01:00:00,66.28
2020-10-02,01:15:00,67.72
2020-10-02,01:30:00,65.028
2020-10-02,01:45:00,63.744
2020-10-02,02:00:00,60.096
2020-10-02,02:15:00,53.792
2020-10-02,02:30:00,59.44
2020-10-02,02:45:00,54.252
2020-10-02,03:00:00,63.628
2020-10-02,03:15:00,59.084
2020-10-02,03:30:00,57.048
2020-10-02,03:45:00,65.752
2020-10-02,04:00:00,69.572
2020-10-02,04:15:00,66.632
2020-10-02,04:30:00,73.056
2020-10-02,04:45:00,72.536
2020-10-02,05:00:00,67.988
2020-10-02,05:15:00,79.224
2020-10-02,05:30:00,56.572
2020-10-02,05:45:00,75.704
2020-10-02,06:00:00,97.176
2020-10-02,06:15:00,101.312
2020-10-02,06:30:00,102.364
2020-10-02,06:45:00,113.512
2020-10-02,07:00:00,107.06
2020-10-02,07:15:00,148.232
2020-10-02,07:30:00,160.004
2020-10-02,07:45:00,176.052
2020-10-02,08:00:00,174.2
2020-10-02,08:15:00,169.644
2020-10-02,08:30:00,178.964
2020-10-02,08:45:00,160.112
2020-10-02,09:00:00,163.172
2020-10-02,09:15:00,177.692
2020-10-02,09:30:00,174.088
2020-10-02,09:45:00,181.764
2020-10-02,10:00:00,168.072
2020-10-02,10:15:00,180.98
2020-10-02,10:30:00,217.192
2020-10-02,10:45:00,219.076
2020-10-02,11:00:00,213.848
2020-10-02,11:15:00,224.616
2020-10-02,11:30:00,213.888
2020-10-02,11:45:00,214.704
2020-10-02,12:00:00,228.752
2020-10-02,12:15:00,210.196
2020-10-02,12:30:00,186.612
2020-10-02,12:45:00,201.388
2020-10-02,13:00:00,182.068
2020-10-02,13:15:00,163.64
2020-10-02,13:30:00,177.584
2020-10-02,13:45:00,163.58
2020-10-02,14:00:00,160.4
2020-10-02,14:15:00,166.124
2020-10-02,14:30:00,175.484
2020-10-02,14:45:00,183.46
2020-10-02,15:00:00,191.296
2020-10-02,15:15:00,159.512
2020-10-02,15:30:00,154.756
2020-10-02,15:45:00,165.94
2020-10-02,16:00:00,181.784
2020-10-02,16:15:00,156.488
2020-10-02,16:30:00,176.412
2020-10-02,16:45:00,192.5
2020-10-02,17:00:00,186.964
2020-10-02,17:15:00,172.164
2020-10-02,17:30:00,157.34
2020-10-02,17:45:00,154.884
2020-10-02,18:00:00,159.9
2020-10-02,18:15:00,157.1
2020-10-02,18:30:00,128.884
2020-10-02,18:45:00,146.808
2020-10-02,19:00:00,142.752
2020-10-02,19:15:00,145.256
2020-10-02,19:30:00,147.552
2020-10-02,19:45:00,153.228
2020-10-02,20:00:00,134.948
2020-10-02,20:15:00,126.012
2020-10-02,20:30:00,109.024
2020-10-02,20:45:00,96.32
2020-10-02,21:00:00,116.396
2020-10-02,21:15:00,100.732
2020-10-02,21:30:00,111.856
2020-10-02,21:45:00,66.7
2020-10-02,22:00:00,72.74
2020-10-02,22:15:00,77.428
2020-10-02,22:30:00,76.048
2020-10-02,22:45:00,84.648
2020-10-02,23:00:00,82.996
2020-10-02,23:15:00,76.888
2020-10-02,23:30:00,71.028
2020-10-02,23:45:00,67.004
2020-10-02,00:00:00,69.28
2020-10-03,00:15:00,60.996
2020-10-03,00:30:00,64.376
2020-10-03,00:45:00,48.472
2020-10-03,01:00:00,56.428
2020-10-03,01:15:00,59.432
2020-10-03,01:30:00,55.468
2020-10-03,01:45:00,49.532
2020-10-03,02:00:00,55.512
2020-10-03,02:15:00,48.448
2020-10-03,02:30:00,38.692
2020-10-03,02:45:00,43.74
2020-10-03,03:00:00,43.532
2020-10-03,03:15:00,50.892
2020-10-03,03:30:00,47.736
2020-10-03,03:45:00,42.984
2020-10-03,04:00:00,42.228
2020-10-03,04:15:00,40.764
2020-10-03,04:30:00,37.08
2020-10-03,04:45:00,47.808
2020-10-03,05:00:00,42.408
2020-10-03,05:15:00,37.188
2020-10-03,05:30:00,40.732
2020-10-03,05:45:00,45.516
2020-10-03,06:00:00,36.172
2020-10-03,06:15:00,29.936
2020-10-03,06:30:00,31.344
2020-10-03,06:45:00,60.16
2020-10-03,07:00:00,71.276
2020-10-03,07:15:00,77.196
2020-10-03,07:30:00,82.356
2020-10-03,07:45:00,60.604
2020-10-03,08:00:00,63.148
2020-10-03,08:15:00,59.916
2020-10-03,08:30:00,73.892
2020-10-03,08:45:00,90.724
2020-10-03,09:00:00,94.416
2020-10-03,09:15:00,80.864
2020-10-03,09:30:00,94.352
2020-10-03,09:45:00,124.716
2020-10-03,10:00:00,119.984
2020-10-03,10:15:00,128.456
2020-10-03,10:30:00,135.868
2020-10-03,10:45:00,178.164
2020-10-03,11:00:00,150.108
2020-10-03,11:15:00,143.796
2020-10-03,11:30:00,125.988
2020-10-03,11:45:00,161.476
2020-10-03,12:00:00,157.72
2020-10-03,12:15:00,105.364
2020-10-03,12:30:00,93.288
2020-10-03,12:45:00,94.544
2020-10-03,13:00:00,93.92
2020-10-03,13:15:00,113.196
2020-10-03,13:30:00,71.66
2020-10-03,13:45:00,57.872
2020-10-03,14:00:00,30.88
2020-10-03,14:15:00,59.156
2020-10-03,14:30:00,63.6
2020-10-03,14:45:00,76.488
2020-10-03,15:00:00,94.792
2020-10-03,15:15:00,105.064
2020-10-03,15:30:00,98.372
2020-10-03,15:45:00,100.028
2020-10-03,16:00:00,35.512
2020-10-03,16:15:00,56.368
2020-10-03,16:30:00,52.956
2020-10-03,16:45:00,77.824
2020-10-03,17:00:00,76.956
2020-10-03,17:15:00,74.78
2020-10-03,17:30:00,96.696
2020-10-03,17:45:00,84.4
2020-10-03,18:00:00,119.716
2020-10-03,18:15:00,82.624
2020-10-03,18:30:00,82.216
2020-10-03,18:45:00,103.588
2020-10-03,19:00:00,125.872
2020-10-03,19:15:00,102.132
2020-10-03,19:30:00,95.276
2020-10-03,19:45:00,114.86
2020-10-03,20:00:00,72.924
2020-10-03,20:15:00,61.12
2020-10-03,20:30:00,63.776
2020-10-03,20:45:00,67.048
2020-10-03,21:00:00,76.904
2020-10-03,21:15:00,80.228
2020-10-03,21:30:00,68.656
2020-10-03,21:45:00,74.352
2020-10-03,22:00:00,75.156
2020-10-03,22:15:00,60.7
2020-10-03,22:30:00,64.084
2020-10-03,22:45:00,59.18
2020-10-03,23:00:00,67.628
2020-10-03,23:15:00,68.46
2020-10-03,23:30:00,76.232
2020-10-03,23:45:00,71.216
2020-10-03,00:00:00,61.08
2020-10-04,00:15:00,49.088
2020-10-04,00:30:00,36.676
2020-10-04,00:45:00,53.488
2020-10-04,01:00:00,57.192
2020-10-04,01:15:00,52.172
2020-10-04,01:30:00,36.268
2020-10-04,01:45:00,57.552
2020-10-04,02:00:00,48.188
2020-10-04,02:15:00,48.384
2020-10-04,02:30:00,49.372
2020-10-04,02:45:00,40.72
2020-10-04,03:00:00,47.376
2020-10-04,03:15:00,50.972
2020-10-04,03:30:00,42.232
2020-10-04,03:45:00,44.048
2020-10-04,04:00:00,43.988
2020-10-04,04:15:00,51.712
2020-10-04,04:30:00,41.908
2020-10-04,04:45:00,48.384
2020-10-04,05:00:00,43.468
2020-10-04,05:15:00,44.3
2020-10-04,05:30:00,45.388
2020-10-04,05:45:00,53.728
2020-10-04,06:00:00,42.452
2020-10-04,06:15:00,32.144
2020-10-04,06:30:00,46.808
2020-10-04,06:45:00,52.18
2020-10-04,07:00:00,52.1
2020-10-04,07:15:00,74.24
2020-10-04,07:30:00,44.284
2020-10-04,07:45:00,60.54
2020-10-04,08:00:00,64.1
2020-10-04,08:15:00,52.812
2020-10-04,08:30:00,47.436
2020-10-04,08:45:00,55.416
2020-10-04,09:00:00,57.668
2020-10-04,09:15:00,42.356
2020-10-04,09:30:00,46.764
2020-10-04,09:45:00,38.368
2020-10-04,10:00:00,105.68
2020-10-04,10:15:00,108.82
2020-10-04,10:30:00,123.964
2020-10-04,10:45:00,145.736
2020-10-04,11:00:00,150.824
2020-10-04,11:15:00,171.424
2020-10-04,11:30:00,159.024
2020-10-04,11:45:00,117.776
2020-10-04,12:00:00,129.504
2020-10-04,12:15:00,127.196
2020-10-04,12:30:00,118.796
2020-10-04,12:45:00,142.2
2020-10-04,13:00:00,137.008
2020-10-04,13:15:00,97.028
2020-10-04,13:30:00,78.356
2020-10-04,13:45:00,63.528
2020-10-04,14:00:00,70.8
2020-10-04,14:15:00,62.012
2020-10-04,14:30:00,90.9
2020-10-04,14:45:00,116.128
2020-10-04,15:00:00,127.672
2020-10-04,15:15:00,114.9
2020-10-04,15:30:00,96.96
2020-10-04,15:45:00,68.284
2020-10-04,16:00:00,72.588
2020-10-04,16:15:00,93.964
2020-10-04,16:30:00,107.376
2020-10-04,16:45:00,115.2
2020-10-04,17:00:00,136.864
2020-10-04,17:15:00,121.5
2020-10-04,17:30:00,100.424
2020-10-04,17:45:00,107.92
2020-10-04,18:00:00,110.668
2020-10-04,18:15:00,104.544
2020-10-04,18:30:00,108.1
2020-10-04,18:45:00,120.072
2020-10-04,19:00:00,85.268
2020-10-04,19:15:00,75.316
2020-10-04,19:30:00,112.62
2020-10-04,19:45:00,115.592
2020-10-04,20:00:00,74.508
2020-10-04,20:15:00,67.884
2020-10-04,20:30:00,48.904
2020-10-04,20:45:00,55.236
2020-10-04,21:00:00,44.672
2020-10-04,21:15:00,27.432
2020-10-04,21:30:00,11.712
2020-10-04,21:45:00,21.656
2020-10-04,22:00:00,77.616
2020-10-04,22:15:00,80.628
2020-10-04,22:30:00,66.296
2020-10-04,22:45:00,84.952
2020-10-04,23:00:00,84.384
2020-10-04,23:15:00,83.072
2020-10-04,23:30:00,74.136
2020-10-04,23:45:00,71.912
2020-10-04,00:00:00,71.06
2020-10-05,00:15:00,58.984
2020-10-05,00:30:00,61.156
2020-10-05,00:45:00,59.364
2020-10-05,01:00:00,61.104
2020-10-05,01:15:00,58.424
2020-10-05,01:30:00,52.62
2020-10-05,01:45:00,59.472
2020-10-05,02:00:00,59.928
2020-10-05,02:15:00,54.696
2020-10-05,02:30:00,58.936
2020-10-05,02:45:00,54.38
2020-10-05,03:00:00,59.5
2020-10-05,03:15:00,58.904
2020-10-05,03:30:00,59.016
2020-10-05,03:45:00,64.304
2020-10-05,04:00:00,58.204
2020-10-05,04:15:00,68.084
2020-10-05,04:30:00,61.284
2020-10-05,04:45:00,61.08
2020-10-05,05:00:00,65.684
2020-10-05,05:15:00,64.492
2020-10-05,05:30:00,59.908
2020-10-05,05:45:00,54.012
2020-10-05,06:00:00,58.18
2020-10-05,06:15:00,62.152
2020-10-05,06:30:00,72.744
2020-10-05,06:45:00,68.408
2020-10-05,07:00:00,63.848
2020-10-05,07:15:00,89.844
2020-10-05,07:30:00,108.168
2020-10-05,07:45:00,132.988
2020-10-05,08:00:00,140.412
2020-10-05,08:15:00,148.496
2020-10-05,08:30:00,150.44
2020-10-05,08:45:00,136.28
2020-10-05,09:00:00,134.172
2020-10-05,09:15:00,163.588
2020-10-05,09:30:00,171.892
2020-10-05,09:45:00,196.0
2020-10-05,10:00:00,209.736
2020-10-05,10:15:00,216.812
2020-10-05,10:30:00,217.984
2020-10-05,10:45:00,205.604
2020-10-05,11:00:00,215.86
2020-10-05,11:15:00,237.144
2020-10-05,11:30:00,248.0
2020-10-05,11:45:00,236.744
2020-10-05,12:00:00,220.04
2020-10-05,12:15:00,204.716
2020-10-05,12:30:00,194.408
2020-10-05,12:45:00,188.452
2020-10-05,13:00:00,180.888
2020-10-05,13:15:00,168.136
2020-10-05,13:30:00,167.884
2020-10-05,13:45:00,150.084
2020-10-05,14:00:00,156.544
2020-10-05,14:15:00,152.348
2020-10-05,14:30:00,173.676
2020-10-05,14:45:00,178.656
2020-10-05,15:00:00,176.844
2020-10-05,15:15:00,152.78
2020-10-05,15:30:00,146.02
2020-10-05,15:45:00,146.456
2020-10-05,16:00:00,146.924
2020-10-05,16:15:00,145.84
2020-10-05,16:30:00,166.204
2020-10-05,16:45:00,174.268
2020-10-05,17:00:00,156.096
2020-10-05,17:15:00,163.292
2020-10-05,17:30:00,161.528
2020-10-05,17:45:00,147.848
2020-10-05,18:00:00,143.6
2020-10-05,18:15:00,138.036
2020-10-05,18:30:00,128.256
2020-10-05,18:45:00,127.776
2020-10-05,19:00:00,117.584
2020-10-05,19:15:00,104.86
2020-10-05,19:30:00,108.336
2020-10-05,19:45:00,114.348
2020-10-05,20:00:00,117.608
2020-10-05,20:15:00,104.692
2020-10-05,20:30:00,93.86
2020-10-05,20:45:00,86.908
2020-10-05,21:00:00,88.628
2020-10-05,21:15:00,83.492
2020-10-05,21:30:00,73.24
2020-10-05,21:45:00,81.46
2020-10-05,22:00:00,83.244
2020-10-05,22:15:00,74.664
2020-10-05,22:30:00,63.576
2020-10-05,22:45:00,58.636
2020-10-05,23:00:00,70.436
2020-10-05,23:15:00,76.372
2020-10-05,23:30:00,67.22
2020-10-05,23:45:00,61.452
2020-10-05,00:00:00,61.824
2020-10-06,00:15:00,59.404
2020-10-06,00:30:00,63.836
2020-10-06,00:45:00,53.104
2020-10-06,01:00:00,59.456
2020-10-06,01:15:00,60.62
2020-10-06,01:30:00,52.892
2020-10-06,01:45:00,54.576
2020-10-06,02:00:00,58.392
2020-10-06,02:15:00,54.676
2020-10-06,02:30:00,51.924
2020-10-06,02:45:00,51.98
2020-10-06,03:00:00,53.952
2020-10-06,03:15:00,51.372
2020-10-06,03:30:00,50.64
2020-10-06,03:45:00,53.636
2020-10-06,04:00:00,56.004
2020-10-06,04:15:00,58.648
2020-10-06,04:30:00,57.716
2020-10-06,04:45:00,57.78
2020-10-06,05:00:00,63.52
2020-10-06,05:15:00,58.584
2020-10-06,05:30:00,59.24
2020-10-06,05:45:00,70.376
2020-10-06,06:00:00,76.816
2020-10-06,06:15:00,63.248
2020-10-06,06:30:00,75.064
2020-10-06,06:45:00,89.452
