,time,power in kW
2020-03-01,00:15:00,92.108
2020-03-01,00:30:00,86.452
2020-03-01,00:45:00,91.624
2020-03-01,01:00:00,75.812
2020-03-01,01:15:00,90.072
2020-03-01,01:30:00,79.544
2020-03-01,01:45:00,88.36
2020-03-01,02:00:00,95.164
2020-03-01,02:15:00,89.296
2020-03-01,02:30:00,93.484
2020-03-01,02:45:00,92.184
2020-03-01,03:00:00,89.772
2020-03-01,03:15:00,92.968
2020-03-01,03:30:00,82.448
2020-03-01,03:45:00,81.88
2020-03-01,04:00:00,82.372
2020-03-01,04:15:00,81.448
2020-03-01,04:30:00,85.392
2020-03-01,04:45:00,84.32
2020-03-01,05:00:00,84.116
2020-03-01,05:15:00,78.02
2020-03-01,05:30:00,84.072
2020-03-01,05:45:00,82.964
2020-03-01,06:00:00,61.452
2020-03-01,06:15:00,58.656
2020-03-01,06:30:00,52.544
2020-03-01,06:45:00,69.0
2020-03-01,07:00:00,83.792
2020-03-01,07:15:00,65.576
2020-03-01,07:30:00,45.088
2020-03-01,07:45:00,68.84
2020-03-01,08:00:00,71.7
2020-03-01,08:15:00,68.0
2020-03-01,08:30:00,98.48
2020-03-01,08:45:00,79.604
2020-03-01,09:00:00,110.8
2020-03-01,09:15:00,95.456
2020-03-01,09:30:00,101.576
2020-03-01,09:45:00,119.452
2020-03-01,10:00:00,131.484
2020-03-01,10:15:00,159.22
2020-03-01,10:30:00,101.296
2020-03-01,10:45:00,90.044
2020-03-01,11:00:00,184.336
2020-03-01,11:15:00,135.172
2020-03-01,11:30:00,113.508
2020-03-01,11:45:00,99.428
2020-03-01,12:00:00,154.696
2020-03-01,12:15:00,167.356
2020-03-01,12:30:00,113.784
2020-03-01,12:45:00,110.984
2020-03-01,13:00:00,134.144
2020-03-01,13:15:00,115.076
2020-03-01,13:30:00,110.308
2020-03-01,13:45:00,120.456
2020-03-01,14:00:00,111.78
2020-03-01,14:15:00,103.384
2020-03-01,14:30:00,152.116
2020-03-01,14:45:00,143.82
2020-03-01,15:00:00,142.856
2020-03-01,15:15:00,153.428
2020-03-01,15:30:00,135.984
2020-03-01,15:45:00,120.2
2020-03-01,16:00:00,101.868
2020-03-01,16:15:00,54.564
2020-03-01,16:30:00,47.38
2020-03-01,16:45:00,37.592
2020-03-01,17:00:00,46.656
2020-03-01,17:15:00,56.36
2020-03-01,17:30:00,60.34
2020-03-01,17:45:00,98.62
2020-03-01,18:00:00,108.004
2020-03-01,18:15:00,134.192
2020-03-01,18:30:00,140.208
2020-03-01,18:45:00,138.92
2020-03-01,19:00:00,138.468
2020-03-01,19:15:00,105.228
2020-03-01,19:30:00,113.288
