,time,power in kW
2020-01-01,00:15:00,79.568
2020-01-01,00:30:00,69.864
2020-01-01,00:45:00,59.888
2020-01-01,01:00:00,64.488
2020-01-01,01:15:00,50.256
2020-01-01,01:30:00,83.64
2020-01-01,01:45:00,85.984
2020-01-01,02:00:00,76.412
2020-01-01,02:15:00,67.096
2020-01-01,02:30:00,74.832
2020-01-01,02:45:00,72.548
2020-01-01,03:00:00,64.988
2020-01-01,03:15:00,66.16
2020-01-01,03:30:00,73.956
2020-01-01,03:45:00,76.476
2020-01-01,04:00:00,75.752
2020-01-01,04:15:00,74.996
2020-01-01,04:30:00,59.892
2020-01-01,04:45:00,76.444
2020-01-01,05:00:00,77.716
2020-01-01,05:15:00,68.12
2020-01-01,05:30:00,73.308
2020-01-01,05:45:00,65.264
2020-01-01,06:00:00,39.452
2020-01-01,06:15:00,61.412
2020-01-01,06:30:00,74.38
2020-01-01,06:45:00,74.236
2020-01-01,07:00:00,75.708
2020-01-01,07:15:00,48.896
2020-01-01,07:30:00,55.304
2020-01-01,07:45:00,56.624
2020-01-01,08:00:00,66.16
2020-01-01,08:15:00,67.44
2020-01-01,08:30:00,77.028
2020-01-01,08:45:00,67.708
2020-01-01,09:00:00,37.464
2020-01-01,09:15:00,66.552
2020-01-01,09:30:00,78.912
2020-01-01,09:45:00,76.896
2020-01-01,10:00:00,67.104
2020-01-01,10:15:00,78.06
2020-01-01,10:30:00,79.68
2020-01-01,10:45:00,52.392
2020-01-01,11:00:00,60.636
2020-01-01,11:15:00,42.544
2020-01-01,11:30:00,56.696
2020-01-01,11:45:00,45.788
2020-01-01,12:00:00,79.656
2020-01-01,12:15:00,48.18
2020-01-01,12:30:00,73.168
2020-01-01,12:45:00,55.66
2020-01-01,13:00:00,45.18
2020-01-01,13:15:00,32.616
2020-01-01,13:30:00,31.652
2020-01-01,13:45:00,21.44
2020-01-01,14:00:00,42.748
2020-01-01,14:15:00,54.128
2020-01-01,14:30:00,65.5
2020-01-01,14:45:00,78.912
2020-01-01,15:00:00,80.08
2020-01-01,15:15:00,74.452
2020-01-01,15:30:00,78.296
2020-01-01,15:45:00,64.308
2020-01-01,16:00:00,41.692
2020-01-01,16:15:00,45.692
2020-01-01,16:30:00,31.756
2020-01-01,16:45:00,55.624
2020-01-01,17:00:00,51.528
2020-01-01,17:15:00,10.776
2020-01-01,17:30:00,56.764
2020-01-01,17:45:00,69.84
2020-01-01,18:00:00,55.46
2020-01-01,18:15:00,49.384
2020-01-01,18:30:00,56.692
2020-01-01,18:45:00,60.248
2020-01-01,19:00:00,30.992
2020-01-01,19:15:00,27.28
2020-01-01,19:30:00,42.18
2020-01-01,19:45:00,47.544
2020-01-01,20:00:00,33.7
2020-01-01,20:15:00,30.608
2020-01-01,20:30:00,17.948
2020-01-01,20:45:00,36.252
2020-01-01,21:00:00,76.4
2020-01-01,21:15:00,56.028
2020-01-01,21:30:00,67.148
2020-01-01,21:45:00,100.96
2020-01-01,22:00:00,90.38
2020-01-01,22:15:00,76.216
2020-01-01,22:30:00,99.288
2020-01-01,22:45:00,75.616
2020-01-01,23:00:00,85.692
2020-01-01,23:15:00,83.804
2020-01-01,23:30:00,82.516
2020-01-01,23:45:00,69.712
2020-01-01,00:00:00,82.516
2020-01-02,00:15:00,102.484
2020-01-02,00:30:00,97.9
2020-01-02,00:45:00,95.124
2020-01-02,01:00:00,98.584
2020-01-02,01:15:00,105.452
2020-01-02,01:30:00,106.476
2020-01-02,01:45:00,105.864
2020-01-02,02:00:00,106.688
2020-01-02,02:15:00,98.948
2020-01-02,02:30:00,104.324
2020-01-02,02:45:00,101.02
2020-01-02,03:00:00,97.52
2020-01-02,03:15:00,87.7
2020-01-02,03:30:00,93.232
2020-01-02,03:45:00,87.104
2020-01-02,04:00:00,84.676
2020-01-02,04:15:00,87.196
2020-01-02,04:30:00,90.784
2020-01-02,04:45:00,80.224
2020-01-02,05:00:00,76.42
2020-01-02,05:15:00,83.028
2020-01-02,05:30:00,81.688
2020-01-02,05:45:00,84.524
2020-01-02,06:00:00,78.556
2020-01-02,06:15:00,85.724
2020-01-02,06:30:00,82.276
2020-01-02,06:45:00,57.24
2020-01-02,07:00:00,56.032
2020-01-02,07:15:00,84.148
2020-01-02,07:30:00,118.384
2020-01-02,07:45:00,128.724
2020-01-02,08:00:00,144.444
2020-01-02,08:15:00,181.356
2020-01-02,08:30:00,174.58
2020-01-02,08:45:00,184.0
2020-01-02,09:00:00,213.44
2020-01-02,09:15:00,205.704
2020-01-02,09:30:00,206.536
2020-01-02,09:45:00,231.744
2020-01-02,10:00:00,225.38
2020-01-02,10:15:00,243.984
2020-01-02,10:30:00,239.88
2020-01-02,10:45:00,260.404
2020-01-02,11:00:00,268.676
2020-01-02,11:15:00,274.364
2020-01-02,11:30:00,275.744
2020-01-02,11:45:00,248.924
2020-01-02,12:00:00,233.528
2020-01-02,12:15:00,224.032
2020-01-02,12:30:00,239.236
2020-01-02,12:45:00,246.756
2020-01-02,13:00:00,246.208
2020-01-02,13:15:00,249.872
2020-01-02,13:30:00,238.32
2020-01-02,13:45:00,225.2
2020-01-02,14:00:00,232.792
2020-01-02,14:15:00,239.088
2020-01-02,14:30:00,226.284
2020-01-02,14:45:00,222.4
2020-01-02,15:00:00,241.712
2020-01-02,15:15:00,249.14
2020-01-02,15:30:00,245.456
2020-01-02,15:45:00,230.3
2020-01-02,16:00:00,215.516
2020-01-02,16:15:00,199.008
2020-01-02,16:30:00,204.152
2020-01-02,16:45:00,183.928
2020-01-02,17:00:00,196.008
2020-01-02,17:15:00,171.456
2020-01-02,17:30:00,204.652
2020-01-02,17:45:00,234.516
2020-01-02,18:00:00,216.768
2020-01-02,18:15:00,193.092
2020-01-02,18:30:00,167.204
2020-01-02,18:45:00,156.48
2020-01-02,19:00:00,156.856
2020-01-02,19:15:00,144.4
2020-01-02,19:30:00,123.336
2020-01-02,19:45:00,118.528
2020-01-02,20:00:00,120.76
2020-01-02,20:15:00,102.596
2020-01-02,20:30:00,114.08
2020-01-02,20:45:00,120.652
2020-01-02,21:00:00,109.368
2020-01-02,21:15:00,95.068
2020-01-02,21:30:00,97.532
2020-01-02,21:45:00,121.772
2020-01-02,22:00:00,107.676
2020-01-02,22:15:00,114.632
2020-01-02,22:30:00,88.196
2020-01-02,22:45:00,80.264
2020-01-02,23:00:00,98.972
2020-01-02,23:15:00,126.644
2020-01-02,23:30:00,121.668
2020-01-02,23:45:00,106.044
2020-01-02,00:00:00,104.88
2020-01-03,00:15:00,97.968
2020-01-03,00:30:00,109.8
2020-01-03,00:45:00,106.96
2020-01-03,01:00:00,107.468
2020-01-03,01:15:00,110.12
2020-01-03,01:30:00,111.056
2020-01-03,01:45:00,111.336
2020-01-03,02:00:00,108.448
2020-01-03,02:15:00,108.468
2020-01-03,02:30:00,108.328
2020-01-03,02:45:00,106.688
2020-01-03,03:00:00,105.112
2020-01-03,03:15:00,99.252
2020-01-03,03:30:00,87.116
2020-01-03,03:45:00,87.944
2020-01-03,04:00:00,83.608
2020-01-03,04:15:00,87.172
2020-01-03,04:30:00,86.392
2020-01-03,04:45:00,84.18
2020-01-03,05:00:00,77.264
2020-01-03,05:15:00,77.628
2020-01-03,05:30:00,80.04
2020-01-03,05:45:00,69.052
2020-01-03,06:00:00,62.716
2020-01-03,06:15:00,46.844
2020-01-03,06:30:00,74.028
2020-01-03,06:45:00,62.776
2020-01-03,07:00:00,41.928
2020-01-03,07:15:00,50.556
2020-01-03,07:30:00,91.684
2020-01-03,07:45:00,122.548
2020-01-03,08:00:00,163.728
2020-01-03,08:15:00,166.084
2020-01-03,08:30:00,183.408
2020-01-03,08:45:00,195.376
2020-01-03,09:00:00,201.836
2020-01-03,09:15:00,191.604
2020-01-03,09:30:00,192.192
2020-01-03,09:45:00,207.312
2020-01-03,10:00:00,215.848
2020-01-03,10:15:00,206.1
2020-01-03,10:30:00,204.996
2020-01-03,10:45:00,197.652
2020-01-03,11:00:00,211.228
2020-01-03,11:15:00,209.748
2020-01-03,11:30:00,209.364
2020-01-03,11:45:00,206.844
2020-01-03,12:00:00,203.416
2020-01-03,12:15:00,190.248
2020-01-03,12:30:00,185.512
2020-01-03,12:45:00,204.2
2020-01-03,13:00:00,195.216
2020-01-03,13:15:00,173.9
2020-01-03,13:30:00,154.296
2020-01-03,13:45:00,119.5
2020-01-03,14:00:00,136.32
2020-01-03,14:15:00,152.664
2020-01-03,14:30:00,167.088
2020-01-03,14:45:00,166.484
2020-01-03,15:00:00,186.588
2020-01-03,15:15:00,175.44
2020-01-03,15:30:00,138.58
2020-01-03,15:45:00,88.224
2020-01-03,16:00:00,131.272
2020-01-03,16:15:00,127.536
2020-01-03,16:30:00,127.988
2020-01-03,16:45:00,165.544
2020-01-03,17:00:00,95.1
2020-01-03,17:15:00,106.044
2020-01-03,17:30:00,103.968
2020-01-03,17:45:00,109.104
2020-01-03,18:00:00,153.168
2020-01-03,18:15:00,162.712
2020-01-03,18:30:00,165.288
2020-01-03,18:45:00,150.16
2020-01-03,19:00:00,131.66
2020-01-03,19:15:00,123.62
2020-01-03,19:30:00,78.444
2020-01-03,19:45:00,98.256
2020-01-03,20:00:00,108.304
2020-01-03,20:15:00,80.832
2020-01-03,20:30:00,83.412
2020-01-03,20:45:00,85.928
2020-01-03,21:00:00,79.88
2020-01-03,21:15:00,109.268
2020-01-03,21:30:00,110.032
2020-01-03,21:45:00,125.232
2020-01-03,22:00:00,113.812
2020-01-03,22:15:00,107.148
2020-01-03,22:30:00,93.832
2020-01-03,22:45:00,113.548
2020-01-03,23:00:00,91.428
2020-01-03,23:15:00,103.512
2020-01-03,23:30:00,91.884
2020-01-03,23:45:00,107.824
2020-01-03,00:00:00,102.332
2020-01-04,00:15:00,67.708
2020-01-04,00:30:00,64.516
2020-01-04,00:45:00,58.468
2020-01-04,01:00:00,48.776
2020-01-04,01:15:00,59.612
2020-01-04,01:30:00,62.744
2020-01-04,01:45:00,63.536
2020-01-04,02:00:00,61.8
2020-01-04,02:15:00,70.328
