,time,power in kW
2020-12-01,00:15:00,73.888
2020-12-01,00:30:00,65.38
2020-12-01,00:45:00,77.232
2020-12-01,01:00:00,76.924
2020-12-01,01:15:00,58.028
2020-12-01,01:30:00,59.804
2020-12-01,01:45:00,66.58
2020-12-01,02:00:00,68.668
2020-12-01,02:15:00,57.808
2020-12-01,02:30:00,63.488
2020-12-01,02:45:00,48.532
2020-12-01,03:00:00,55.436
2020-12-01,03:15:00,53.9
2020-12-01,03:30:00,53.588
2020-12-01,03:45:00,51.888
2020-12-01,04:00:00,55.972
2020-12-01,04:15:00,59.188
2020-12-01,04:30:00,55.664
2020-12-01,04:45:00,41.552
2020-12-01,05:00:00,49.808
2020-12-01,05:15:00,58.604
2020-12-01,05:30:00,49.468
2020-12-01,05:45:00,38.556
2020-12-01,06:00:00,65.112
2020-12-01,06:15:00,63.524
2020-12-01,06:30:00,70.404
2020-12-01,06:45:00,28.976
2020-12-01,07:00:00,45.784
2020-12-01,07:15:00,51.46
2020-12-01,07:30:00,135.644
2020-12-01,07:45:00,146.808
2020-12-01,08:00:00,138.112
2020-12-01,08:15:00,184.512
2020-12-01,08:30:00,207.472
2020-12-01,08:45:00,214.436
2020-12-01,09:00:00,237.8
2020-12-01,09:15:00,200.796
2020-12-01,09:30:00,184.06
2020-12-01,09:45:00,185.608
2020-12-01,10:00:00,192.988
2020-12-01,10:15:00,157.336
2020-12-01,10:30:00,168.684
2020-12-01,10:45:00,204.168
2020-12-01,11:00:00,181.924
2020-12-01,11:15:00,193.748
2020-12-01,11:30:00,202.696
2020-12-01,11:45:00,193.492
2020-12-01,12:00:00,202.656
2020-12-01,12:15:00,190.724
2020-12-01,12:30:00,162.988
2020-12-01,12:45:00,137.476
2020-12-01,13:00:00,154.428
2020-12-01,13:15:00,152.656
2020-12-01,13:30:00,144.956
2020-12-01,13:45:00,139.364
2020-12-01,14:00:00,151.3
2020-12-01,14:15:00,170.176
2020-12-01,14:30:00,180.412
2020-12-01,14:45:00,197.772
2020-12-01,15:00:00,186.824
2020-12-01,15:15:00,196.076
2020-12-01,15:30:00,151.176
2020-12-01,15:45:00,170.624
2020-12-01,16:00:00,162.78
2020-12-01,16:15:00,163.1
2020-12-01,16:30:00,170.828
2020-12-01,16:45:00,205.356
2020-12-01,17:00:00,188.056
2020-12-01,17:15:00,196.512
2020-12-01,17:30:00,176.192
2020-12-01,17:45:00,179.528
2020-12-01,18:00:00,202.268
2020-12-01,18:15:00,191.112
2020-12-01,18:30:00,166.176
2020-12-01,18:45:00,147.332
2020-12-01,19:00:00,149.476
2020-12-01,19:15:00,127.436
2020-12-01,19:30:00,117.148
2020-12-01,19:45:00,128.864
2020-12-01,20:00:00,125.988
2020-12-01,20:15:00,122.248
2020-12-01,20:30:00,92.36
2020-12-01,20:45:00,75.336
2020-12-01,21:00:00,88.968
2020-12-01,21:15:00,89.796
2020-12-01,21:30:00,99.564
2020-12-01,21:45:00,78.568
2020-12-01,22:00:00,109.212
2020-12-01,22:15:00,106.548
2020-12-01,22:30:00,93.736
2020-12-01,22:45:00,93.5
2020-12-01,23:00:00,75.972
2020-12-01,23:15:00,90.452
2020-12-01,23:30:00,85.996
2020-12-01,23:45:00,86.532
2020-12-01,00:00:00,93.268
2020-12-02,00:15:00,73.028
2020-12-02,00:30:00,62.068
2020-12-02,00:45:00,67.656
2020-12-02,01:00:00,71.084
2020-12-02,01:15:00,62.44
2020-12-02,01:30:00,64.9
2020-12-02,01:45:00,60.344
2020-12-02,02:00:00,63.916
2020-12-02,02:15:00,58.224
2020-12-02,02:30:00,53.72
2020-12-02,02:45:00,49.664
2020-12-02,03:00:00,54.816
2020-12-02,03:15:00,53.592
2020-12-02,03:30:00,48.94
2020-12-02,03:45:00,56.204
2020-12-02,04:00:00,41.824
2020-12-02,04:15:00,41.264
2020-12-02,04:30:00,32.036
2020-12-02,04:45:00,32.776
2020-12-02,05:00:00,34.78
2020-12-02,05:15:00,45.472
2020-12-02,05:30:00,48.396
2020-12-02,05:45:00,35.304
2020-12-02,06:00:00,59.916
2020-12-02,06:15:00,32.484
2020-12-02,06:30:00,73.428
2020-12-02,06:45:00,39.444
2020-12-02,07:00:00,80.444
2020-12-02,07:15:00,102.704
2020-12-02,07:30:00,123.58
2020-12-02,07:45:00,135.708
2020-12-02,08:00:00,148.576
2020-12-02,08:15:00,165.564
2020-12-02,08:30:00,221.988
2020-12-02,08:45:00,205.468
2020-12-02,09:00:00,171.268
2020-12-02,09:15:00,182.744
2020-12-02,09:30:00,180.06
2020-12-02,09:45:00,189.012
2020-12-02,10:00:00,206.16
2020-12-02,10:15:00,178.688
2020-12-02,10:30:00,195.44
2020-12-02,10:45:00,193.668
2020-12-02,11:00:00,191.92
2020-12-02,11:15:00,200.096
2020-12-02,11:30:00,215.3
2020-12-02,11:45:00,212.792
2020-12-02,12:00:00,222.368
2020-12-02,12:15:00,212.152
2020-12-02,12:30:00,190.784
2020-12-02,12:45:00,186.82
2020-12-02,13:00:00,172.52
2020-12-02,13:15:00,164.44
2020-12-02,13:30:00,163.132
2020-12-02,13:45:00,145.06
2020-12-02,14:00:00,152.852
2020-12-02,14:15:00,173.704
2020-12-02,14:30:00,161.8
2020-12-02,14:45:00,193.42
2020-12-02,15:00:00,192.052
2020-12-02,15:15:00,211.172
2020-12-02,15:30:00,186.94
2020-12-02,15:45:00,181.376
2020-12-02,16:00:00,180.416
2020-12-02,16:15:00,159.624
2020-12-02,16:30:00,180.032
2020-12-02,16:45:00,177.956
2020-12-02,17:00:00,150.584
2020-12-02,17:15:00,161.924
2020-12-02,17:30:00,161.332
2020-12-02,17:45:00,157.092
2020-12-02,18:00:00,178.328
2020-12-02,18:15:00,179.984
2020-12-02,18:30:00,183.328
2020-12-02,18:45:00,182.332
2020-12-02,19:00:00,174.08
2020-12-02,19:15:00,122.204
2020-12-02,19:30:00,94.972
2020-12-02,19:45:00,73.72
2020-12-02,20:00:00,83.112
2020-12-02,20:15:00,78.756
2020-12-02,20:30:00,125.644
2020-12-02,20:45:00,69.92
2020-12-02,21:00:00,37.824
2020-12-02,21:15:00,59.788
2020-12-02,21:30:00,97.728
2020-12-02,21:45:00,91.38
2020-12-02,22:00:00,51.184
2020-12-02,22:15:00,71.924
2020-12-02,22:30:00,67.796
2020-12-02,22:45:00,48.604
2020-12-02,23:00:00,59.876
2020-12-02,23:15:00,54.0
2020-12-02,23:30:00,57.7
2020-12-02,23:45:00,66.6
2020-12-02,00:00:00,49.056
2020-12-03,00:15:00,79.32
2020-12-03,00:30:00,62.676
2020-12-03,00:45:00,57.292
2020-12-03,01:00:00,71.144
2020-12-03,01:15:00,67.904
2020-12-03,01:30:00,57.244
2020-12-03,01:45:00,58.408
2020-12-03,02:00:00,57.592
2020-12-03,02:15:00,47.36
2020-12-03,02:30:00,44.208
2020-12-03,02:45:00,39.388
2020-12-03,03:00:00,44.88
2020-12-03,03:15:00,44.056
2020-12-03,03:30:00,37.796
2020-12-03,03:45:00,35.18
2020-12-03,04:00:00,37.804
2020-12-03,04:15:00,33.636
2020-12-03,04:30:00,28.408
2020-12-03,04:45:00,17.292
2020-12-03,05:00:00,23.368
2020-12-03,05:15:00,34.104
2020-12-03,05:30:00,39.6
2020-12-03,05:45:00,40.956
2020-12-03,06:00:00,43.78
2020-12-03,06:15:00,40.772
2020-12-03,06:30:00,54.032
2020-12-03,06:45:00,72.12
2020-12-03,07:00:00,76.036
2020-12-03,07:15:00,77.052
2020-12-03,07:30:00,151.708
2020-12-03,07:45:00,157.932
2020-12-03,08:00:00,144.436
2020-12-03,08:15:00,150.256
2020-12-03,08:30:00,179.036
2020-12-03,08:45:00,150.16
2020-12-03,09:00:00,212.376
2020-12-03,09:15:00,203.112
2020-12-03,09:30:00,203.572
2020-12-03,09:45:00,192.316
2020-12-03,10:00:00,202.14
2020-12-03,10:15:00,229.104
2020-12-03,10:30:00,194.26
2020-12-03,10:45:00,204.672
2020-12-03,11:00:00,212.324
2020-12-03,11:15:00,233.12
2020-12-03,11:30:00,225.7
2020-12-03,11:45:00,219.16
2020-12-03,12:00:00,234.372
2020-12-03,12:15:00,207.856
2020-12-03,12:30:00,210.648
2020-12-03,12:45:00,180.552
2020-12-03,13:00:00,182.232
2020-12-03,13:15:00,192.796
2020-12-03,13:30:00,174.836
2020-12-03,13:45:00,184.756
2020-12-03,14:00:00,199.14
2020-12-03,14:15:00,182.232
2020-12-03,14:30:00,187.792
2020-12-03,14:45:00,207.584
2020-12-03,15:00:00,206.64
2020-12-03,15:15:00,213.376
2020-12-03,15:30:00,187.068
2020-12-03,15:45:00,206.568
2020-12-03,16:00:00,208.804
2020-12-03,16:15:00,221.3
2020-12-03,16:30:00,190.948
2020-12-03,16:45:00,202.996
2020-12-03,17:00:00,186.168
