,time,power in kW
2020-04-01,00:15:00,104.908
2020-04-01,00:30:00,95.96
2020-04-01,00:45:00,92.716
2020-04-01,01:00:00,90.132
2020-04-01,01:15:00,98.116
2020-04-01,01:30:00,94.916
2020-04-01,01:45:00,88.516
2020-04-01,02:00:00,92.948
2020-04-01,02:15:00,87.152
2020-04-01,02:30:00,92.892
2020-04-01,02:45:00,95.056
2020-04-01,03:00:00,93.956
2020-04-01,03:15:00,85.488
2020-04-01,03:30:00,97.684
2020-04-01,03:45:00,95.268
2020-04-01,04:00:00,92.828
2020-04-01,04:15:00,89.408
2020-04-01,04:30:00,91.728
2020-04-01,04:45:00,87.052
2020-04-01,05:00:00,87.288
2020-04-01,05:15:00,99.524
2020-04-01,05:30:00,101.688
2020-04-01,05:45:00,104.716
2020-04-01,06:00:00,83.64
2020-04-01,06:15:00,89.772
2020-04-01,06:30:00,46.984
2020-04-01,06:45:00,61.748
2020-04-01,07:00:00,76.176
2020-04-01,07:15:00,105.584
2020-04-01,07:30:00,91.236
2020-04-01,07:45:00,122.064
2020-04-01,08:00:00,179.568
2020-04-01,08:15:00,176.328
2020-04-01,08:30:00,174.916
2020-04-01,08:45:00,181.352
2020-04-01,09:00:00,221.816
2020-04-01,09:15:00,223.728
2020-04-01,09:30:00,227.42
2020-04-01,09:45:00,246.256
2020-04-01,10:00:00,246.036
2020-04-01,10:15:00,227.676
2020-04-01,10:30:00,255.504
2020-04-01,10:45:00,308.86
2020-04-01,11:00:00,312.424
2020-04-01,11:15:00,301.34
2020-04-01,11:30:00,290.212
2020-04-01,11:45:00,283.164
2020-04-01,12:00:00,279.688
2020-04-01,12:15:00,310.444
2020-04-01,12:30:00,276.94
2020-04-01,12:45:00,265.812
2020-04-01,13:00:00,285.888
2020-04-01,13:15:00,261.124
2020-04-01,13:30:00,264.528
2020-04-01,13:45:00,269.172
2020-04-01,14:00:00,268.068
2020-04-01,14:15:00,263.268
2020-04-01,14:30:00,270.396
2020-04-01,14:45:00,271.22
2020-04-01,15:00:00,258.348
2020-04-01,15:15:00,256.672
2020-04-01,15:30:00,213.588
2020-04-01,15:45:00,231.448
2020-04-01,16:00:00,213.22
2020-04-01,16:15:00,195.7
2020-04-01,16:30:00,185.268
2020-04-01,16:45:00,223.692
2020-04-01,17:00:00,224.152
2020-04-01,17:15:00,196.196
2020-04-01,17:30:00,185.612
2020-04-01,17:45:00,166.928
2020-04-01,18:00:00,170.412
2020-04-01,18:15:00,151.384
2020-04-01,18:30:00,105.164
2020-04-01,18:45:00,99.82
2020-04-01,19:00:00,84.0
2020-04-01,19:15:00,88.2
2020-04-01,19:30:00,85.336
2020-04-01,19:45:00,35.344
2020-04-01,20:00:00,51.844
2020-04-01,20:15:00,139.896
2020-04-01,20:30:00,108.32
2020-04-01,20:45:00,103.756
2020-04-01,21:00:00,90.692
2020-04-01,21:15:00,93.9
2020-04-01,21:30:00,65.116
2020-04-01,21:45:00,106.588
2020-04-01,22:00:00,115.592
2020-04-01,22:15:00,136.728
2020-04-01,22:30:00,107.456
2020-04-01,22:45:00,128.036
2020-04-01,23:00:00,141.02
2020-04-01,23:15:00,134.336
2020-04-01,23:30:00,136.516
2020-04-01,23:45:00,120.772
2020-04-01,00:00:00,104.416
2020-04-02,00:15:00,91.16
2020-04-02,00:30:00,80.76
2020-04-02,00:45:00,82.968
2020-04-02,01:00:00,92.992
2020-04-02,01:15:00,91.192
2020-04-02,01:30:00,94.96
2020-04-02,01:45:00,89.708
2020-04-02,02:00:00,84.268
2020-04-02,02:15:00,87.896
2020-04-02,02:30:00,84.64
2020-04-02,02:45:00,85.108
2020-04-02,03:00:00,80.448
2020-04-02,03:15:00,76.356
2020-04-02,03:30:00,76.508
2020-04-02,03:45:00,86.432
2020-04-02,04:00:00,79.364
2020-04-02,04:15:00,84.888
2020-04-02,04:30:00,82.376
2020-04-02,04:45:00,79.328
2020-04-02,05:00:00,77.576
2020-04-02,05:15:00,68.48
2020-04-02,05:30:00,85.968
2020-04-02,05:45:00,76.388
2020-04-02,06:00:00,70.576
2020-04-02,06:15:00,91.356
2020-04-02,06:30:00,50.76
2020-04-02,06:45:00,75.132
2020-04-02,07:00:00,99.508
2020-04-02,07:15:00,111.792
2020-04-02,07:30:00,145.824
2020-04-02,07:45:00,151.552
