,time,power in kW
2020-09-01,00:15:00,59.408
2020-09-01,00:30:00,50.844
2020-09-01,00:45:00,53.56
2020-09-01,01:00:00,51.58
2020-09-01,01:15:00,54.512
2020-09-01,01:30:00,58.788
2020-09-01,01:45:00,62.744
2020-09-01,02:00:00,48.02
2020-09-01,02:15:00,47.812
2020-09-01,02:30:00,52.344
2020-09-01,02:45:00,51.96
2020-09-01,03:00:00,51.852
2020-09-01,03:15:00,49.084
2020-09-01,03:30:00,53.98
2020-09-01,03:45:00,51.188
2020-09-01,04:00:00,43.552
2020-09-01,04:15:00,56.272
2020-09-01,04:30:00,56.472
2020-09-01,04:45:00,56.272
2020-09-01,05:00:00,61.244
2020-09-01,05:15:00,65.864
2020-09-01,05:30:00,60.384
2020-09-01,05:45:00,69.772
2020-09-01,06:00:00,66.336
2020-09-01,06:15:00,86.656
2020-09-01,06:30:00,79.044
2020-09-01,06:45:00,92.94
2020-09-01,07:00:00,103.164
2020-09-01,07:15:00,121.296
2020-09-01,07:30:00,112.508
2020-09-01,07:45:00,110.408
2020-09-01,08:00:00,109.732
2020-09-01,08:15:00,138.112
2020-09-01,08:30:00,150.34
2020-09-01,08:45:00,135.312
2020-09-01,09:00:00,176.364
2020-09-01,09:15:00,162.772
2020-09-01,09:30:00,194.932
2020-09-01,09:45:00,203.5
2020-09-01,10:00:00,206.356
2020-09-01,10:15:00,215.296
2020-09-01,10:30:00,224.248
2020-09-01,10:45:00,222.372
2020-09-01,11:00:00,203.696
2020-09-01,11:15:00,226.832
2020-09-01,11:30:00,227.452
2020-09-01,11:45:00,249.384
2020-09-01,12:00:00,228.188
2020-09-01,12:15:00,212.624
2020-09-01,12:30:00,192.484
2020-09-01,12:45:00,200.976
2020-09-01,13:00:00,193.92
2020-09-01,13:15:00,203.588
2020-09-01,13:30:00,188.292
2020-09-01,13:45:00,182.252
2020-09-01,14:00:00,193.932
2020-09-01,14:15:00,197.144
2020-09-01,14:30:00,205.632
2020-09-01,14:45:00,201.016
2020-09-01,15:00:00,198.204
2020-09-01,15:15:00,198.812
2020-09-01,15:30:00,196.476
2020-09-01,15:45:00,192.056
2020-09-01,16:00:00,205.424
2020-09-01,16:15:00,168.516
2020-09-01,16:30:00,171.492
2020-09-01,16:45:00,190.356
2020-09-01,17:00:00,199.436
2020-09-01,17:15:00,189.152
2020-09-01,17:30:00,182.172
2020-09-01,17:45:00,151.556
2020-09-01,18:00:00,165.48
2020-09-01,18:15:00,126.544
2020-09-01,18:30:00,126.656
2020-09-01,18:45:00,107.824
2020-09-01,19:00:00,91.176
2020-09-01,19:15:00,101.972
2020-09-01,19:30:00,119.456
2020-09-01,19:45:00,100.332
2020-09-01,20:00:00,76.028
2020-09-01,20:15:00,101.996
2020-09-01,20:30:00,112.196
2020-09-01,20:45:00,110.176
2020-09-01,21:00:00,94.716
2020-09-01,21:15:00,112.252
2020-09-01,21:30:00,91.424
2020-09-01,21:45:00,75.248
2020-09-01,22:00:00,69.736
2020-09-01,22:15:00,69.336
2020-09-01,22:30:00,82.852
2020-09-01,22:45:00,87.716
2020-09-01,23:00:00,72.972
2020-09-01,23:15:00,56.988
2020-09-01,23:30:00,69.496
2020-09-01,23:45:00,55.58
2020-09-01,00:00:00,65.7
2020-09-02,00:15:00,67.516
2020-09-02,00:30:00,67.712
2020-09-02,00:45:00,57.524
2020-09-02,01:00:00,57.876
2020-09-02,01:15:00,57.804
2020-09-02,01:30:00,54.452
2020-09-02,01:45:00,55.956
2020-09-02,02:00:00,48.616
2020-09-02,02:15:00,48.412
2020-09-02,02:30:00,48.144
2020-09-02,02:45:00,54.088
2020-09-02,03:00:00,43.988
2020-09-02,03:15:00,50.536
2020-09-02,03:30:00,48.288
2020-09-02,03:45:00,41.612
2020-09-02,04:00:00,55.144
2020-09-02,04:15:00,55.752
2020-09-02,04:30:00,60.192
2020-09-02,04:45:00,60.276
2020-09-02,05:00:00,52.188
2020-09-02,05:15:00,61.668
2020-09-02,05:30:00,69.72
2020-09-02,05:45:00,70.76
2020-09-02,06:00:00,87.304
2020-09-02,06:15:00,74.996
2020-09-02,06:30:00,105.456
2020-09-02,06:45:00,72.88
2020-09-02,07:00:00,90.108
2020-09-02,07:15:00,76.5
2020-09-02,07:30:00,100.288
2020-09-02,07:45:00,109.684
2020-09-02,08:00:00,104.668
2020-09-02,08:15:00,111.148
2020-09-02,08:30:00,112.708
2020-09-02,08:45:00,129.156
2020-09-02,09:00:00,121.432
2020-09-02,09:15:00,146.712
2020-09-02,09:30:00,156.56
2020-09-02,09:45:00,162.908
2020-09-02,10:00:00,180.568
2020-09-02,10:15:00,219.632
2020-09-02,10:30:00,221.804
2020-09-02,10:45:00,218.372
2020-09-02,11:00:00,199.772
2020-09-02,11:15:00,197.928
2020-09-02,11:30:00,214.252
2020-09-02,11:45:00,213.168
2020-09-02,12:00:00,184.82
2020-09-02,12:15:00,193.276
2020-09-02,12:30:00,207.832
2020-09-02,12:45:00,193.912
2020-09-02,13:00:00,201.896
2020-09-02,13:15:00,176.044
2020-09-02,13:30:00,187.696
2020-09-02,13:45:00,171.552
2020-09-02,14:00:00,205.42
2020-09-02,14:15:00,184.544
2020-09-02,14:30:00,183.576
2020-09-02,14:45:00,201.88
2020-09-02,15:00:00,202.828
2020-09-02,15:15:00,199.184
2020-09-02,15:30:00,202.36
2020-09-02,15:45:00,197.976
2020-09-02,16:00:00,199.852
2020-09-02,16:15:00,185.112
2020-09-02,16:30:00,189.632
2020-09-02,16:45:00,199.22
2020-09-02,17:00:00,189.888
2020-09-02,17:15:00,157.292
2020-09-02,17:30:00,166.752
2020-09-02,17:45:00,136.808
2020-09-02,18:00:00,153.604
2020-09-02,18:15:00,150.948
2020-09-02,18:30:00,155.54
2020-09-02,18:45:00,151.62
2020-09-02,19:00:00,135.944
2020-09-02,19:15:00,108.58
2020-09-02,19:30:00,130.5
2020-09-02,19:45:00,127.328
2020-09-02,20:00:00,131.192
2020-09-02,20:15:00,129.088
2020-09-02,20:30:00,100.648
2020-09-02,20:45:00,93.216
2020-09-02,21:00:00,88.784
2020-09-02,21:15:00,103.12
2020-09-02,21:30:00,93.78
2020-09-02,21:45:00,93.732
2020-09-02,22:00:00,91.048
2020-09-02,22:15:00,70.348
2020-09-02,22:30:00,72.436
2020-09-02,22:45:00,78.824
2020-09-02,23:00:00,70.752
2020-09-02,23:15:00,48.12
