,time,power in kW
2020-07-01,00:15:00,70.82
2020-07-01,00:30:00,67.724
2020-07-01,00:45:00,61.548
2020-07-01,01:00:00,58.768
2020-07-01,01:15:00,63.296
2020-07-01,01:30:00,59.956
2020-07-01,01:45:00,66.584
2020-07-01,02:00:00,66.908
2020-07-01,02:15:00,62.148
2020-07-01,02:30:00,61.764
2020-07-01,02:45:00,57.56
2020-07-01,03:00:00,52.16
2020-07-01,03:15:00,56.036
2020-07-01,03:30:00,53.056
2020-07-01,03:45:00,54.048
2020-07-01,04:00:00,50.124
2020-07-01,04:15:00,57.108
2020-07-01,04:30:00,63.04
2020-07-01,04:45:00,67.132
2020-07-01,05:00:00,47.788
2020-07-01,05:15:00,66.84
2020-07-01,05:30:00,51.372
2020-07-01,05:45:00,63.288
2020-07-01,06:00:00,76.876
2020-07-01,06:15:00,62.74
2020-07-01,06:30:00,66.944
2020-07-01,06:45:00,38.144
2020-07-01,07:00:00,50.04
2020-07-01,07:15:00,58.068
2020-07-01,07:30:00,94.98
2020-07-01,07:45:00,112.236
2020-07-01,08:00:00,98.428
2020-07-01,08:15:00,112.592
2020-07-01,08:30:00,129.656
2020-07-01,08:45:00,127.592
2020-07-01,09:00:00,138.284
2020-07-01,09:15:00,146.132
2020-07-01,09:30:00,167.856
2020-07-01,09:45:00,186.708
2020-07-01,10:00:00,190.08
2020-07-01,10:15:00,185.656
2020-07-01,10:30:00,177.56
2020-07-01,10:45:00,195.872
2020-07-01,11:00:00,218.072
2020-07-01,11:15:00,217.208
2020-07-01,11:30:00,222.46
2020-07-01,11:45:00,195.448
2020-07-01,12:00:00,209.724
2020-07-01,12:15:00,214.368
2020-07-01,12:30:00,207.228
2020-07-01,12:45:00,174.98
2020-07-01,13:00:00,182.532
2020-07-01,13:15:00,192.488
2020-07-01,13:30:00,198.34
2020-07-01,13:45:00,196.528
2020-07-01,14:00:00,188.104
2020-07-01,14:15:00,194.884
2020-07-01,14:30:00,196.508
2020-07-01,14:45:00,202.928
2020-07-01,15:00:00,197.212
2020-07-01,15:15:00,158.728
2020-07-01,15:30:00,170.932
2020-07-01,15:45:00,171.908
2020-07-01,16:00:00,160.804
2020-07-01,16:15:00,167.12
2020-07-01,16:30:00,169.348
2020-07-01,16:45:00,179.424
2020-07-01,17:00:00,159.424
2020-07-01,17:15:00,158.816
2020-07-01,17:30:00,175.136
2020-07-01,17:45:00,160.948
2020-07-01,18:00:00,149.532
2020-07-01,18:15:00,150.112
2020-07-01,18:30:00,125.288
2020-07-01,18:45:00,102.336
2020-07-01,19:00:00,83.568
2020-07-01,19:15:00,81.084
2020-07-01,19:30:00,72.448
2020-07-01,19:45:00,85.952
2020-07-01,20:00:00,37.94
2020-07-01,20:15:00,53.176
2020-07-01,20:30:00,80.36
2020-07-01,20:45:00,104.024
2020-07-01,21:00:00,92.172
2020-07-01,21:15:00,78.832
2020-07-01,21:30:00,71.524
2020-07-01,21:45:00,115.232
2020-07-01,22:00:00,87.74
2020-07-01,22:15:00,72.648
2020-07-01,22:30:00,84.368
2020-07-01,22:45:00,67.772
2020-07-01,23:00:00,78.216
