,time,power in kW
2020-06-01,00:15:00,37.312
2020-06-01,00:30:00,52.876
2020-06-01,00:45:00,44.396
2020-06-01,01:00:00,41.036
2020-06-01,01:15:00,40.536
2020-06-01,01:30:00,37.504
2020-06-01,01:45:00,45.992
2020-06-01,02:00:00,47.444
2020-06-01,02:15:00,42.084
2020-06-01,02:30:00,44.208
2020-06-01,02:45:00,42.728
2020-06-01,03:00:00,35.556
2020-06-01,03:15:00,35.828
2020-06-01,03:30:00,37.688
2020-06-01,03:45:00,34.156
2020-06-01,04:00:00,35.332
2020-06-01,04:15:00,30.96
2020-06-01,04:30:00,28.868
2020-06-01,04:45:00,36.884
2020-06-01,05:00:00,32.444
2020-06-01,05:15:00,31.764
2020-06-01,05:30:00,32.768
2020-06-01,05:45:00,27.548
2020-06-01,06:00:00,18.948
2020-06-01,06:15:00,12.2
2020-06-01,06:30:00,14.252
2020-06-01,06:45:00,15.348
2020-06-01,07:00:00,4.64
2020-06-01,07:15:00,6.728
2020-06-01,07:30:00,7.304
2020-06-01,07:45:00,12.248
2020-06-01,08:00:00,17.48
2020-06-01,08:15:00,39.748
2020-06-01,08:30:00,38.952
2020-06-01,08:45:00,39.568
2020-06-01,09:00:00,53.56
2020-06-01,09:15:00,59.124
2020-06-01,09:30:00,71.712
2020-06-01,09:45:00,93.704
2020-06-01,10:00:00,86.652
2020-06-01,10:15:00,103.556
2020-06-01,10:30:00,117.22
2020-06-01,10:45:00,142.272
2020-06-01,11:00:00,136.272
2020-06-01,11:15:00,143.176
2020-06-01,11:30:00,161.52
2020-06-01,11:45:00,177.068
2020-06-01,12:00:00,145.784
2020-06-01,12:15:00,128.96
2020-06-01,12:30:00,105.66
2020-06-01,12:45:00,135.968
2020-06-01,13:00:00,116.212
2020-06-01,13:15:00,105.424
2020-06-01,13:30:00,118.444
2020-06-01,13:45:00,128.124
2020-06-01,14:00:00,89.288
2020-06-01,14:15:00,92.048
2020-06-01,14:30:00,117.6
2020-06-01,14:45:00,118.42
2020-06-01,15:00:00,145.884
2020-06-01,15:15:00,114.544
2020-06-01,15:30:00,94.124
2020-06-01,15:45:00,87.7
2020-06-01,16:00:00,91.032
2020-06-01,16:15:00,95.028
2020-06-01,16:30:00,99.132
2020-06-01,16:45:00,125.292
2020-06-01,17:00:00,131.196
2020-06-01,17:15:00,135.444
2020-06-01,17:30:00,159.756
2020-06-01,17:45:00,147.0
2020-06-01,18:00:00,142.044
2020-06-01,18:15:00,112.488
2020-06-01,18:30:00,137.34
2020-06-01,18:45:00,142.648
2020-06-01,19:00:00,139.424
2020-06-01,19:15:00,112.176
2020-06-01,19:30:00,110.396
2020-06-01,19:45:00,72.268
2020-06-01,20:00:00,73.64
2020-06-01,20:15:00,78.928
2020-06-01,20:30:00,91.948
2020-06-01,20:45:00,93.228
2020-06-01,21:00:00,81.004
2020-06-01,21:15:00,59.084
2020-06-01,21:30:00,82.82
2020-06-01,21:45:00,53.284
2020-06-01,22:00:00,47.904
2020-06-01,22:15:00,53.292
2020-06-01,22:30:00,43.672
2020-06-01,22:45:00,60.516
2020-06-01,23:00:00,63.88
2020-06-01,23:15:00,73.02
2020-06-01,23:30:00,71.844
2020-06-01,23:45:00,63.344
2020-06-01,00:00:00,57.324
2020-06-02,00:15:00,72.648
2020-06-02,00:30:00,67.152
2020-06-02,00:45:00,70.4
2020-06-02,01:00:00,65.824
2020-06-02,01:15:00,66.464
2020-06-02,01:30:00,65.108
2020-06-02,01:45:00,57.504
2020-06-02,02:00:00,60.676
2020-06-02,02:15:00,59.988
2020-06-02,02:30:00,59.492
2020-06-02,02:45:00,57.912
2020-06-02,03:00:00,50.756
2020-06-02,03:15:00,59.424
